audio pregunta;0.wav;
Mamá y papá se toman un cafecito en la tarde.;1181.wav;
En el lago encontré piedrecitas de muchos colores. ;1182.wav;
Martin tiene un avioncito de juguete.;1183.wav;
Con mi abuela caminamos despacito.;1184.wav;
Un viejecito nos saludo en la plaza.;1185.wav;
El conejo de Marta es suavecito.;1186.wav;
Me tomé un vasito de agua. ;1187.wav;
Un pequeño leoncito vimos en el zoológico. ;1188.wav;
Vi una lombricita en el jardín. ;1189.wav;
Los piecitos del bebe son gorditos. ;1190.wav;
La mamá de Andrea le da un pedacito de manzana.;1191.wav;
Tengo un llavero con forma de corazoncito.;1192.wav;
Lee la descripción y escribe la palabra a la cual corresponde.;1193.wav;
Selecciona la combinación que falta en la oración.;1233.wav;
Cómo se escribe correctamente la palabra?;1322.wav;
Cuál es la palabra que debe ir en el espacio en blanco?;1372.wav;
Lee la palabra, identifica la sílaba tónica y luego haz clic en la clasificación correspondiente.;1407.wav;
José se abriga con la bufanda.;1523.wav;
Él se dirige a la biblioteca. ;1524.wav;
José se encuentra con su abuela. ;1525.wav;
Le da un beso en la mejilla.;1526.wav;
El bombero toca la bocina.;1527.wav;
La bandera se mueve con el viento.;1528.wav;
El papá de José le compra un globo. ;1529.wav;
Al mirar al cielo las nubes se ven grises. ;1530.wav;
El paraguas me protege de la lluvia.;1531.wav;
José camina por la vereda.;1532.wav;
Pronto llegará la primavera. ;1533.wav;
El vecino de José saluda muy cordial. ;1534.wav;
MI abuela me ve por la ventana. ;1535.wav;
El viernes iré a la biblioteca. ;1536.wav;
En las vacaciones de invierno siempre llueve. ;1537.wav;
José soñaba con visitar Buenos Aires.;1538.wav;
La mamá de José cantaba en las mañanas.;1539.wav;
La paloma volaba cerca de la casa. ;1540.wav;
Cuando José corría, su perrito saltaba. ;1541.wav;
A ella le gustaba cuando caminaban por la playa. ;1542.wav;
Después de almorzar me gustaba dormir. ;1543.wav;
Ella señalaba el libro que quiso comprar. ;1544.wav;
Cuando miraba las estrellas formaba figuras. ;1545.wav;
La profesora pensaba mientras tomaba desayuno.;1546.wav;
Martín tocaba la guitarra en la plaza.;1547.wav;
La mamá de José plantaba girasoles en el jardín. ;1548.wav;
Su papá diseñaba maquetas para su trabajo. ;1549.wav;
José estudiaba por las tardes. ;1550.wav;
La mamá de Josefa compraba frutas en el supermercado. ;1551.wav;
Camila peinaba a su muñeca favorita;1552.wav;
Camila compró una alfombra  muy linda.;1553.wav;
En el hospital hay muchas ambulancias.;1554.wav;
Arturo ayudó en la colecta de los bomberos.;1555.wav;
En mi escuela hicimos una convivencia  para celebrar las fiestas patrias.;1556.wav;
Alexis envió un correo electrónico a su tía que vive en Temuco.;1557.wav;
Los envases de plástico y vidrio se pueden reciclar. ;1558.wav;
Hay que utilizar ampolletas que ahorren energía.;1559.wav;
Antonia fue de vacaciones al campo.;1560.wav;
La iglesia tiene una inmensa campana. ;1561.wav;
Me gusto conversar con mi papá. ;1562.wav;
Ahora me tomaría un helado de chocolate. ;1563.wav;
Necesitamos harina para los panqueques. ;1564.wav;
Andrea hablaba con su hermana sobre la película. ;1565.wav;
Mi papá me preparó pan con huevo. ;1566.wav;
Compre ricas zanahorias para mi conejo. ;1567.wav;
Mi abuela tiene un huerto pequeño.;1568.wav;
Me entregaron un adhesivo al cooperar en la colecta. ;1569.wav;
En el jardín Josefa miraba las hormigas como caminaban. ;1570.wav;
El ahijado de mi mamá estará pronto de cumpleaños. ;1571.wav;
La almohada es suave y cómoda. ;1572.wav;
Javier decide ir por ahí.;1573.wav;
Ya sé! hay que dividirse, continúa Javier.;1574.wav;
Ay! Me pegué en la cabeza, chilla Raquel.;1575.wav;
Toda la razón,  hay que buscar el camino de regreso, dice Daniel.;1576.wav;
17. No, no hay posibilidad de perdernos, explica Javier.;1577.wav;
Ay! No seas exagerada, añade Daniel.;1578.wav;
34. Por ahí donde está la cueva del pirata, especifica Javier.;1579.wav;
Y se vuelven a encontrar ahí, donde amarraron la cuerda.;1580.wav;
Hay que encontrar el camino.;1581.wav;
Silencio! Agrega Javier, parece que ahí viene alguien.;1582.wav;
Lee la oración y selecciona la alternativa que corresponda al sinónimo de la palabra destacada.;1583.wav;
Lee la oración y selecciona la alternativa que corresponda al antónimo de la palabra destacada.;1618.wav;
Qué letra falta a la palabra incompleta?;1653.wav;
Selecciona el conjunto de palabras escritas correctamente según su significado en la oración.;1680.wav;
Selecciona la palabra que presenta acento dierético.;1710.wav;
Selecciona la oración que presenta un correcto uso de la coma.;1750.wav;
A Joaquín le gustaba analizar las casas, la gente y los autos.;1790.wav;
Decidió acercarse a la niña para hacerse su amigo.;1791.wav;
Joaquín quiso entrar, por lo que se detuvo y bajó de la bicicleta.;1792.wav;
Solo una canción, siento mucho cansancio, agregó la niña.;1793.wav;
La abuelita le mostró la mesa con refrescos y lo persuadió para que tomara uno.;1794.wav;
Bien, pero estoy un poco cansado, respondió él.;1795.wav;
Me recibirás mañana si vengo?;1796.wav;
Cómo lo has pasado en la fiesta Joaquín?;1797.wav;
Mi nombre es Flor, pero me dicen Florcita.;1798.wav;
Adentro podía leerse, bienvenidos a la casa  Rodríguez Muñoz.;1799.wav;
Ese día, mientras merodeaba, vio que en una casa se celebraba una fiesta.;1801.wav;
Un día de primavera Joaquín salió a conducir su bicicleta.;1802.wav;
Yo también, me gustaría dormir  tener tranquilidad y paz.;1803.wav;
 Le encantaba atreverse a entrar en casas desconocidas.;1804.wav;
Él no quiso jugar con el niño.;1805.wav;
Si tú me dices que sí, podremos salir esta noche.;1806.wav;
Lo veré más seguido, mas no quiero aburrirme de él.;1807.wav;
Te advierto que la taza de té está muy caliente.;1808.wav;
Yo sé que Luis no se porta bien.;1809.wav;
Mi mamá necesita que le dé un abrazo.;1810.wav;
&Mi& mamá es muy especial para mí.;1811.wav;
Él hizo todo por tu amiga.;1812.wav;
No sé nada de mi prima que se fue de la casa.;1813.wav;
Quiero que tú vayas con tu amiga.;1814.wav;
El policía saludo a mi hermano pequeño. ;1815.wav;
Bailaría contigo pero no sé bailar. ;1816.wav;
Mi tío Raúl nos visitará el fin de semana. ;1817.wav;
Raúl tomo mi mano y me invito a bailar.;1818.wav;
La carnicería tiene un olor extraño.;1819.wav;
Al fin se pudieron reunir, Andrea y María estaban felices. ;1820.wav;
Quieres ir al cine el miércoles?;1821.wav;
Me comería un trozo de pastel. ;1822.wav;
Todos reían cuando Andrea.;1823.wav;
Carla tropezó con la raíz de ese árbol.;1824.wav;
habría;1862.wav;
Selecciona el pronombre que falta escrito correctamente.;1910.wav;
Me gustaría contar una historia que he presenciado desde mi ventana.;1940.wav;
Es por eso que no he tenido ganas de irme.;1941.wav;
Antes había un pequeño café bajo este edificio.;1942.wav;
En los últimos años, con los cambios de edificación, tuvieron que demolerlo.;1943.wav;
Desde que empecé a escribir, tuve que elegir un lugar para hacerlo, y me decidí por esta habitación.;1944.wav;
Con los años he ido recolectando historias que he observado desde ahí.;1945.wav;
Una mañana de abril, mientras iba a la cocina por una café, advertí una muchacha esperando en un banco.;1946.wav;
La muchacha iba sacando todos los objetos de la cartera y los iba dejando en el banco.;1947.wav;
Sin embargo nadie va tan apurado en la vida.;1948.wav;
Voy a esperarla, dijo el muchacho.;1949.wav;
Luego que habéis mirado para ambos lados de la plaza, decidió sentarse a esperar por si aparecía la dueña de la agenda.;1950.wav;
Durante el día, solo ha estado sentada una muchacha.;1951.wav;
Pronto se dio cuenta que tarde o temprano iba a tener que irse a la universidad.;1952.wav;
El muchacho guardó la agenda y  se fue  raudamente.;1953.wav;
Mientras tanto me levanté de mi escritorio y  fui a preparar un café.;1954.wav;
Muchas personas han perdido el hábito de devolver las cosas.;1955.wav;
No podía dejar de pensar en la suerte que tuvo la muchacha.;1956.wav;
Cuando leyó la nota y supo que el muchacho iba a volver en la tarde, se sentó dubitativa.;1957.wav;
Tendrías la amabilidad de dejar la agenda en la conserjería que está al frente?;1958.wav;
El día pasó lento, ya que había que preparar una entrega con mi editor.;1959.wav;
Al día siguiente el joven tuvo que madrugar, pero le entregó la agenda a la niña.;1960.wav;
Por fin la historia se había solucionado.;1961.wav;
Quién vendrá a tu casa?;1962.wav;
Quisiera averiguar dónde vive.;1963.wav;
Dime cómo llegaste hasta acá.;1964.wav;
Dónde quieres poner el mueble? ;1965.wav;
Ustedes son tal para cual;1966.wav;
Qué felicidad que hayas llegado!;1967.wav;
Llegue tarde porque fui donde mi amigo.;1968.wav;
Te dije que no puedes llegar tarde?;1969.wav;
Estudié hasta qué pude entender.;1970.wav;
Cómo te ha ido el último tiempo?;1971.wav;
Me encanta que me regales chocolates!;1972.wav;
El lugar donde iremos está muy lejos de aquí.;1973.wav;
Te gusta qué te haga regalos?;1974.wav;
De cuántos años estamos hablando?;1975.wav;
Todavía no sabemos cuándo podremos irnos que aquí.;1976.wav;
Sabías qué hoy hay prueba?;1977.wav;
Cómo puedo hacer para que me vaya mejor en la universidad?;1978.wav;
Cómo pudiste llegar tan tarde!;1979.wav;
Qué linda muchacha!;1980.wav;
Cómo podría devolver la agenda?;1981.wav;
