id;Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;Feedback
43;2;Mi profesora se llama Carolina.;Mi;profesora;Carolina;Carolina;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de Carolina es c
44;2;Me gusta escuchar música y cantar.;gusta;música;cantar;cantar;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de cantar es c
45;2;Mi abuelita Carmen vendrá a verme mañana.;Carmen;verme;mañana;Carmen;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de Carmen es c
46;2;Hoy comí cerezas de postre.;Hoy;cerezas;postre;cerezas;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de cerezas es c
47;2;Como hace frío mi mamá preparó cazuela.;frío;mamá;cazuela;cazuela;¿Cuál de las palabras tiene como inicial la letra c?;;La letra inicial de cazuela es c
48;2;Es muy bueno hacer deporte.;muy;bueno;deporte;deporte;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de deporte es d
49;2;A veces me gusta dormir con mis papás.;gusta;dormir;pintar;dormir;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de dormir es d
50;2;Me gusta mucho dibujar y pintar.;gusta;dibujar;papás;dibujar;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de dibujar es d
51;2;Con mis amigos juego a lanzar los dados.;Con;amigos;dados;dados;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de dados es d
52;2;En el desayuno quería comer pan pero estaba duro.;en;pan;duro;duro;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de duro es d
53;2;Debo lavar muy bien mis dientes para que estén sanos.;lavar;dientes;sanos;dientes;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de dientes es d
54;2;Comer muchos dulces no es bueno para mi salud.;comer;dulces;salud;dulces;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de dulces es d
55;2;Me gusta mucho leer acerca de los dinosaurios.;mucho;leer;dinosaurios;dinosaurios;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de dinosaurios es d
56;2;El delfín es un mamífero que vive en el agua.;delfín;vive;agua;delfín;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de delfín es d
57;2;Anoche jugué dominó con toda mi familia.;anoche;dominó;familia;dominó;¿Cuál de las palabras tiene como inicial la letra d?;;La letra inicial de dominó es d
58;2;La foca juega con la pelota.;foca;con;pelota;foca;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de foca es f
59;2;Me regalaron una linda falda.;Me;linda;falda;falda;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de falda es f
60;2;El fuego nos ayuda a calentarnos.;El;fuego;ayuda;fuego;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de fueego es f
61;2;Me gusta el flan de chocolate.;gusta;flan;chocolate;flan;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de flan es f
62;2;Las fábulas nos dejan enseñanzas.;fábulas;dejan;enseñanzas;fábulas;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de fábulas es f
63;2;Felipe y Luis siempre juegan a la pelota.;Felipe;Luis;pelota;Felipe;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de Felipe es f
64;2;Yo juego con mi perrito fuera de la casa.;Yo;perrito;fuera;fuera;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de fuerza es f
65;2;Me pone muy feliz estar con mis papás.;pone;feliz;papás;feliz;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de feliz es f
66;2;En septiembre me gusta ir a las fondas.;septiembre;gusta;fondas;fondas;¿Cuál de las palabras tiene como inicial la letra f?;;La letra inicial de fondas es f
67;2;Mi gato se llama Fígaro.;Mi;gato;llama;gato;¿En cuál de estas palabras se encuentra la letra g?;;La palabra gato contiene la letra G
68;2;Todas mis amigas son muy generosas.;mis;son;generosas;generosas;¿En cuál de estas palabras se encuentra la letra g?;;La palabra generosas contiene la letra G
69;2;Mi papá se llama Gerardo.;papá;llama;Gerardo;Gerardo;¿En cuál de estas palabras se encuentra la letra g?;;La palabra Gerardo contiene la letra G
70;2;Mi abuelita tiene muchas gallinas.;abuelita;muchas;gallinas;gallinas;¿En cuál de estas palabras se encuentra la letra g?;;La palabra gallinas contiene la letra G
71;2;Los leones tienen fuertes garras.;leones;fuertes;garras;garras;¿En cuál de estas palabras se encuentra la letra g?;;La palabra garras contiene la letra G
72;2;Mi mamá dice que no debo comer muchas hamburguesas porque tienen grasa.;mamá;comer;hamburguesas;hamburguesas;¿En cuál de estas palabras se encuentra la letra g?;;La palabra hamburguesas contiene la letra G
73;2;Me gustó mucho la película que fui a ver ayer.;gustó;película;ayer;gustó;¿En cuál de estas palabras se encuentra la letra g?;;La palabra gustó contiene la letra G
74;2;En mi estuche tengo lápices y goma.;estuche;lápices;goma;goma;¿En cuál de estas palabras se encuentra la letra g?;;La palabra goma contiene la letra G
75;2;Siempre al llegar del colegio guardo mi mochila.;Siempre;colegio;mochila;colegio;¿En cuál de estas palabras se encuentra la letra g?;;La palabra colegio contiene la letra G
76;2;El séptimo día de la semana es el domingo.;día;semana;domingo;domingo;¿En cuál de estas palabras se encuentra la letra g?;;La palabra domingo contiene la letra G
77;2;Hoy está de cumpleaños mi prima Constanza.;Hoy;cumpleaños;Conztanza;Hoy;¿En cuál de estas palabras se encuentra la letra h?;;La palabra hoy contiene la letra H
78;2;En el Polo Norte hay mucha nieve.;Polo;hay;nieve;hay;¿En cuál de estas palabras se encuentra la letra h?;;La palabra hay contiene la letra H
79;2;Me gusta beber jugo con dos cubitos de hielo.;gusta;jugo;hielo;hielo;¿En cuál de estas palabras se encuentra la letra h?;;La palabra hielo contiene la letra H
80;2;La exposición de arte dura hasta mañana.;exposición;dura;hasta;hasta;¿En cuál de estas palabras se encuentra la letra h?;;La palabra hasta contiene la letra H
81;2;Carlitos visitó un hogar de ancianos.;visitó;hogar;ancianos;hogar;¿En cuál de estas palabras se encuentra la letra h?;;La palabra hogar contiene la letra H
82;2;Todos los lunes cantamos el Himno Nacional en la escuela.;lunes;Himno;escuela;Himno;¿En cuál de estas palabras se encuentra la letra h?;;La palabra himno contiene la letra H
83;2;En el zoologico vi un hipopótamo. ;En;zoológico;hipopótamo;hipopótamo;¿En cuál de estas palabras se encuentra la letra h?;;La palabra hipopótamo contiene la letra H
84;2;Los higos son frutos muy dulces y jugosos.;higos;frutos;jugosos;higos;¿En cuál de estas palabras se encuentra la letra h?;;La palabra higos contiene la letra H
85;2;La gallina puso veinte huevos en el gallinero.;gallina;huevos;gallineros;huevos;¿En cuál de estas palabras se encuentra la letra h?;;La palabra huevos contiene la letra H
86;2;Mi mamá horneó un pastel de chocolate.;horneó;pastel;chocolate;horneó;¿En cuál de estas palabras se encuentra la letra h?;;La palabra horneó contiene la letra H
87;2;Las jirafas tienen el cuello muy largo.;jirafas;cuello;largo;jirafas;¿En cuál de estas palabras se encuentra la letra j?;;La palabra jirafa contiene la letra J
88;2;Andrés y su hermano José fueron al cine.;Andrés;José;cine;José;¿En cuál de estas palabras se encuentra la letra j?;;La palabra José contiene la letra J
89;2;Ayer encontré una jaiba en la playa.;Ayer;una;jaiba;jaiba;¿En cuál de estas palabras se encuentra la letra j?;;La palabra jaiba contiene la letra J
90;2;Mañana me juntaré con mis amigos a ver una pelicula.;juntaré;amigos;película;juntaré;¿En cuál de estas palabras se encuentra la letra j?;;La palabra juntaré contiene la letra J
91;2;Marcelo juega con su amigo Alvaro a la pelota.;juega;amigo;pelota;juega;¿En cuál de estas palabras se encuentra la letra j?;;La palabra juega contiene la letra J
92;2;Juanito compró caramelos y helados.;Juanito;caramelos;helados;Juanito;¿En cuál de estas palabras se encuentra la letra j?;;La palabra Juanito contiene la letra J
93;2;Mi perrita  es muy juguetona.;perrita;muy;juguetona;juguetona;¿En cuál de estas palabras se encuentra la letra j?;;La palabra juguetona contiene la letra J
94;2;Doña María cuida mucho las plantas de su jardín.;María;plantas;jardín;jardín;¿En cuál de estas palabras se encuentra la letra j?;;La palabra jardín contiene la letra J
95;2;En la mesa hay un jarro y un vaso.;mesa;jarro;vaso;jarro;¿En cuál de estas palabras se encuentra la letra j?;;La palabra jarro contiene la letra J
96;2;Un joven ayudó a una abuelita a cruzar la calle.;joven;abuelita;calle;joven;¿En cuál de estas palabras se encuentra la letra j?;;La palabra joven contiene la letra J
97;2;Ayer compramos un kilo de manzanas.;Ayer;kilo;manzanas;kilo;¿En cuál de estas palabras se encuentra la letra k?;;La palabra kilo contiene la letra K
98;2;El kiwi es una fruta ácida.;kiwi;una;ácida;kiwi;¿En cuál de estas palabras se encuentra la letra k?;;La palabra kiwi contiene la letra K
99;2;Valparaíso está a más de 100 kilómetros de Santiago.;Valparaíso;más;kilómetros;kilómetros;¿En cuál de estas palabras se encuentra la letra k?;;La palabra kilómetros contiene la letra K
100;2;Mi abuelita va todos los lunes al kinesiólogo.;abuelita;lunes;kinesiólogo;kinesiólogo;¿En cuál de estas palabras se encuentra la letra k?;;La palabra kinesiólogo contiene la letra K
101;2;A mi hermano le gusta practicar karate.;hermano;gusta;karate;karate;¿En cuál de estas palabras se encuentra la letra k?;;La palabra karate contiene la letra K
102;2;En el parque hay un lindo loro.;parque;hay;lindo;lindo;¿En cuál de estas palabras se encuentra la letra l?;;La palabra lindo contiene la letra L
103;2;La cama de mi abuelita es muy suave.;cama;abuelita;suave;abuelita;¿En cuál de estas palabras se encuentra la letra l?;;La palabra abuelita contiene la letra L
104;2;Me gusta ir a la playa y jugar con el agua.;gusta;la;jugar;la;¿En cuál de estas palabras se encuentra la letra l?;;La palabra la contiene la letra L
105;2;El cumpleaños de Lilian estuvo muy entretenido.;Lilian;estuvo;muy;Lilian;¿En cuál de estas palabras se encuentra la letra l?;;La palabra Lilian contiene la letra L
106;2;El sol de verano es muy fuerte.;sol;verano;fuerte;sol;¿En cuál de estas palabras se encuentra la letra l?;;La palabra sol contiene la letra L
107;2;La maleta de Manuel está pesada.;maleta;está;pesada;maleta;¿En cuál de estas palabras se encuentra la letra l?;;La palabra maleta contiene la letra L
108;2;El loro conversa todo el día.;loro;todo;día;loro;¿En cuál de estas palabras se encuentra la letra l?;;La palabra loro contiene la letra L
109;2;A mi lápiz no le queda punta.;lápiz;queda;punta;lápiz;¿En cuál de estas palabras se encuentra la letra l?;;La palabra lápiz contiene la letra L
110;2;El león ruge fuerte.;león;ruge;fuerte;león;¿En cuál de estas palabras se encuentra la letra l?;;La palabra león contiene la letra L
111;2;Mi mamá tiene lanas de muchos colores.;mamá;lanas;de;lanas;¿En cuál de estas palabras se encuentra la letra l?;;La palabra lanas contiene la letra L
112;2;La mochila de Juan es grande.;mochila;Juan;grande;mochila;¿En cuál de estas palabras se encuentra la letra m?;;La palabra mochila contiene la letra M
113;2;Las águilas siempre vuelan alto.;águilas;siempre;vuelan;siempre;¿En cuál de estas palabras se encuentra la letra m?;;La palabra siempre contiene la letra M
114;2;La escuela es hermosa.;La;escuela;hermosa;hermosa;¿En cuál de estas palabras se encuentra la letra m?;;La palabra hermosa contiene la letra M
115;2;Yo tengo muchos amigos.;Yo;tengo;amigos;amigos;¿En cuál de estas palabras se encuentra la letra m?;;La palabra amigos contiene la letra M
116;2;Mi tío Hugo anda en moto.;tío;Hugo;moto;moto;¿En cuál de estas palabras se encuentra la letra m?;;La palabra moto contiene la letra M
117;2;En mi barrio tengo muchos amigos.;mi;barrio;tengo;mi;¿En cuál de estas palabras se encuentra la letra m?;;La palabra mi contiene la letra M
118;2;Laura es la mejor amiga de Isidora.;Laura;mejor;Isidora;mejor;¿En cuál de estas palabras se encuentra la letra m?;;La palabra mejor contiene la letra M
119;2;Fabían escucha música muy fuerte.;Fabián;música;fuerte;música;¿En cuál de estas palabras se encuentra la letra m?;;La palabra música contiene la letra M
120;2;El reloj de mi casa suena muy fuerte.;reloj;casa;muy;muy;¿En cuál de estas palabras se encuentra la letra m?;;La palabra muy contiene la letra M
121;2;Me gusta mucho el jugo de manzanas.;gusta;jugo;manzanas;manzanas;¿En cuál de estas palabras se encuentra la letra m?;;La palabra manzanas contiene la letra M
122;2;El lunes es el primer día de la semana.;lunes;día;la;lunes;¿En cuál de estas palabras se encuentra la letra n?;;La palabra lunes contiene la letra N
123;2;Las noches de invierno son muy frías.;noches;muy;frías;noches;¿En cuál de estas palabras se encuentra la letra n?;;La palabra noches contiene la letra N
124;2;Me gusta acostarme en el pasto y mirar las nubes.;gusta;pasto;nubes;nubes;¿En cuál de estas palabras se encuentra la letra n?;;La palabra nubes contiene la letra N
125;2;Mi abuelito tiene una nariz grande.;Mi;abuelito;nariz;nariz;¿En cuál de estas palabras se encuentra la letra n?;;La palabra nariz contiene la letra N
126;2;Una tórtola hizo un nido en mi jardín.;tórtola;hizo;nido;nido;¿En cuál de estas palabras se encuentra la letra n?;;La palabra nido contiene la letra N
127;2;Me gustaría viajar en una nave espacial.;viajar;nave;espacial;nave;¿En cuál de estas palabras se encuentra la letra n?;;La palabra nave contiene la letra N
128;2;Mi hermana se llama Natalia.;Mi;llama;Natalia;Natalia;¿En cuál de estas palabras se encuentra la letra n?;;La palabra Natalia contiene la letra N
129;2;Los sábados y domingos no vamos al colegio.;sabados;no;colegio;no;¿En cuál de estas palabras se encuentra la letra n?;;La palabra no contiene la letra N
130;2;Yo nunca he volado en avión.;Yo;nunca;volado;nunca;¿En cuál de estas palabras se encuentra la letra n?;;La palabra nunca contiene la letra N
131;2;Mi perrito Inti tiene su pelaje blanco.;perrito;Inti;pelaje;Inti;¿En cuál de estas palabras se encuentra la letra n?;;La palabra Inti contiene la letra N
132;2;En otoño hace mucho frio.;otoño;hace;frío;otoño;¿En cuál de estas palabras se encuentra la letra ñ?;;La palabra otoño contiene la letra Ñ
133;2;A Josefina le regalaron una muñeca.;Josefina;regalaron;muñeca;muñeca;¿En cuál de estas palabras se encuentra la letra ñ?;;La palabra muñeca contiene la letra Ñ
134;2;Las arañas tienen ocho patas.;Las;arañas;ocho;arañas;¿En cuál de estas palabras se encuentra la letra ñ?;;La palabra arañas contiene la letra Ñ
135;2;Elena se pintó las uñas de color naranjo.;Elena;uñas;naranjo;uñas;¿En cuál de estas palabras se encuentra la letra ñ?;;La palabra uñas contiene la letra Ñ
136;2;Aníbal fue de escursión a la montaña.;Aníbal;escursióm;montaña;montaña;¿En cuál de estas palabras se encuentra la letra ñ?;;La palabra montaña contiene la letra Ñ
137;2;Me gusta comer pan con manjar.;gusta;pan;manjar;pan;¿En cuál de estas palabras se encuentra la letra p?;;La palabra pan contiene la letra P
138;2;Mi mamá tiene el pelo muy largo.;mamá;pelo;largo;pelo;¿En cuál de estas palabras se encuentra la letra p?;;La palabra pelo contiene la letra P
139;2;Me gusta la pelota de Mario.;gusta;pelota;Mario;pelota;¿En cuál de estas palabras se encuentra la letra p?;;La palabra pelota contiene la letra P
140;2;Paula y Camila juegan a las muñecas.;Paula;Camila;muñecas;Paula;¿En cuál de estas palabras se encuentra la letra p?;;La palabra Paula contiene la letra P
141;2;Me gusta escuchar música porque me pone contenta.;gusta;música;porque;porque;¿En cuál de estas palabras se encuentra la letra p?;;La palabra porque contiene la letra P
142;2;La mariposa tiene lindos colores.;mariposa;lindos;colores;mariposa;¿En cuál de estas palabras se encuentra la letra p?;;La palabra mariposa contiene la letra P
143;2;Mi país se llama Chile.;país;llama;Chile;país;¿En cuál de estas palabras se encuentra la letra p?;;La palabra país contiene la letra P
144;2;A mi papá se le perdió la linterna.;papá;le;linterna;papá;¿En cuál de estas palabras se encuentra la letra p?;;La palabra papá contiene la letra P
145;2;Mis abuelos vendrán a casa para Navidad.;abuelos;casa;para;para;¿En cuál de estas palabras se encuentra la letra p?;;La palabra para contiene la letra P
146;2;Mis tíos viven en la comuna de Puente Alto.;tíos;Puente;Alto;Puente;¿En cuál de estas palabras se encuentra la letra p?;;La palabra Puente contiene la letra P
147;2;El ratón come mucho queso.;ratón;come;queso;queso;¿En cuál de estas palabras se encuentra la letra q?;;La palabra queso contiene la letra Q
148;2;La hermana de Margarita tiene quince años.;hermana;Margarita;quince;quince;¿En cuál de estas palabras se encuentra la letra q?;;La palabra quince contiene la letra Q
149;2;Mi tía hizo un queque muy rico.;hizo;queque;rico;queque;¿En cuál de estas palabras se encuentra la letra q?;;La palabra queque contiene la letra Q
150;2;"Iquique es conocida como la ""Tierra de Campeones"".";Iquique;como;Tierra;Iquique;¿En cuál de estas palabras se encuentra la letra q?;;La palabra Iquique contiene la letra Q
151;2;Quiero mucho a mis padres y a mis hermanos.;Quiero;padres;hermanos;Quiero;¿En cuál de estas palabras se encuentra la letra q?;;La palabra quiero contiene la letra Q
152;2;El gatito se quedó muy quieto mientras lo acariciaba.;gatito;quedó;mientras;quedó;¿En cuál de estas palabras se encuentra la letra q?;;La palabra quedó contiene la letra Q
153;2;Patricio llegó quinto lugar en la competencia de atletismo.;Patricio;quinto;competencia;quinto;¿En cuál de estas palabras se encuentra la letra q?;;La palabra quinto contiene la letra Q
154;2;Me gusta trabajar en equipo con mis amigos.;gusta;equipo;amigos;equipo;¿En cuál de estas palabras se encuentra la letra q?;;La palabra equipo contiene la letra Q
155;2;Rodrigo se quejó de dolor de muelas.;quejó;dolor;muelas;quejó;¿En cuál de estas palabras se encuentra la letra q?;;La palabra quejó contiene la letra Q
156;2;Anita quebró el florero de su mamá.;quebró;florero;mamá;quebró;¿En cuál de estas palabras se encuentra la letra q?;;La palabra quebró contiene la letra Q
157;2;Las ranas son anfibios que viven en todo el mundo.;ranas;anfibios;todo;ranas;¿En cuál de estas palabras se encuentra la letra r?;;La palabra ranas contiene la letra R
158;2;Octavio regaló un ramo de flores a su tía.;Octavio;ramo;tía;ramo;¿En cuál de estas palabras se encuentra la letra r?;;La palabra ramo contiene la letra R
159;2;El almuerzo estuvo muy rico.;El;estuvo;rico;rico;¿En cuál de estas palabras se encuentra la letra r?;;La palabra rico contiene la letra R
160;2;El árbol tiene muchas hojas y frutos.;árbol;muchas;hojas;árbol;¿En cuál de estas palabras se encuentra la letra r?;;La palabra árbol contiene la letra R
161;2;Me gusta leer rimas y poemas.;Me;leer;poemas;leer;¿En cuál de estas palabras se encuentra la letra r?;;La palabra leer contiene la letra R
162;2;El vestido de Camila es rojo con lunares blancos.;vestido;rojo;blancos;rojo;¿En cuál de estas palabras se encuentra la letra r?;;La palabra rojo contiene la letra R
163;2;La radio está con un volumen muy alto.;radio;volumen;alto;radio;¿En cuál de estas palabras se encuentra la letra r?;;La palabra radio contiene la letra R
164;2;Ramón visitó a su abuelita el sábado.;Ramón;abuelita;sábado;Ramón;¿En cuál de estas palabras se encuentra la letra r?;;La palabra Ramón contiene la letra R
165;2;Tengo rosas y tulipanes en mi jardín.;rosas;tulipanes;mi;rosas;¿En cuál de estas palabras se encuentra la letra r?;;La palabra rosas contiene la letra R
166;2;Ayer comí un racimo de uvas.;comí;racimo;uvas;racimo;¿En cuál de estas palabras se encuentra la letra r?;;La palabra racimo contiene la letra R
167;2;La vaca tiene un lindo pelaje de color blanco y negro.;vaca;lindo;color;vaca;¿En cuál de estas palabras se encuentra la letra v?;;La palabra vaca contiene la letra V
168;2;Me gusta tomar jugo en vaso plástico.;gusta;jugo;vaso;vaso;¿En cuál de estas palabras se encuentra la letra v?;;La palabra vaso contiene la letra V
169;2;Mis vecinos son muy simpáticos.;vecinos;muy;simpáticos;vecinos;¿En cuál de estas palabras se encuentra la letra v?;;La palabra vecinos contiene la letra V
170;2;Hoy salí abrigado de casa porque hay mucho viento.;salí;casa;viento;viento;¿En cuál de estas palabras se encuentra la letra v?;;La palabra viento contiene la letra V
171;2;En verano me gusta mucho ir a la playa.;verano;gusta;playa;verano;¿En cuál de estas palabras se encuentra la letra v?;;La palabra verano contiene la letra V
172;2;Todos los viernes salgo más temprano del colegio.;viernes;salgo;colegio;viernes;¿En cuál de estas palabras se encuentra la letra v?;;La palabra viernes contiene la letra V
173;2;En mi colegio hay un taller de violín.;hay;taller;violín;violín;¿En cuál de estas palabras se encuentra la letra v?;;La palabra violín contiene la letra V
174;2;Me gusta mucho escuchar a las aves cantar.;gusta;las;aves;aves;¿En cuál de estas palabras se encuentra la letra v?;;La palabra aves contiene la letra V
175;2;Me gustaría viajar en avión.;Me;gustaría;viajar;viajar;¿En cuál de estas palabras se encuentra la letra v?;;La palabra viajar contiene la letra V
176;2;Las águilas pueden volar muy alto.;águilas;volar;alto;volar;¿En cuál de estas palabras se encuentra la letra v?;;La palabra volar contiene la letra V
177;2;Isaac Newton es un científico muy conocido.;Newton;científico;conocido;Newton;¿En cuál de estas palabras se encuentra la letra w?;;La palabra Newton contiene la letra W
178;2;Antonia vio un video muy interesante en la web.;video;interesante;web;web;¿En cuál de estas palabras se encuentra la letra w?;;La palabra web contiene la letra W
179;2;Los tíos de Ignacio beben whisky.;tíos;Ignacio;whisky;whisky;¿En cuál de estas palabras se encuentra la letra w?;;La palabra whisly contiene la letra W
180;2;Con mi profesora leemos textos muy entretenidos.;mi;leemos;textos;textos;¿En cuál de estas palabras se encuentra la letra x?;;La palabra textos contiene la letra X
181;2;Me gustó mucho la exposición de arte.;gustó;exposición;arte;exposición;¿En cuál de estas palabras se encuentra la letra x?;;La palabra exposición contiene la letra X
182;2;La venta de chocolates resultó muy exitosa.;venta;chocolates;exitosa;exitosa;¿En cuál de estas palabras se encuentra la letra x?;;La palabra exitosa contiene la letra X
183;2;Me gusta mucho la yema del huevo.;gusta;yema;huevo;yema;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra yema contiene letra Y griega
184;2;Mi abuelito tiene una linda yegua en el campo.;abuelito;linda;yegua;yegua;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra yegua contiene letra Y griega
185;2;Felipe y Pamela son mis mejores amigos.;y;mis;amigos;y;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra y contiene letra Y griega
186;2;Todos los veranos voy a la playa con mi familia.;Todos;veranos;playa;playa;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra playa contiene letra Y griega
187;2;No me gusta ponerme inyecciones porque me duelen.;me;inyecciones;duelen;inyecciones;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra inyecciones contiene letra Y griega
188;2;Mi colación favorita es el yogurt con cereales.;favorita;yogurt;cereales;yogurt;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra yogurt contiene letra Y griega
189;2;Mi mamá todas las mañanas hace yoga.;mamá;las;yoga;yoga;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra yoga contiene letra Y griega
190;2;Mi papá dice que cuando era chico jugaba yoyó.;papá;chico;yoyó;yoyó;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra yoyó contiene letra Y griega
191;2;Me fracturé el pie jugando y debieron ponerme yeso.;Me;pie;yeso;yeso;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra yeso contiene letra Y griega
192;2;Mi amigo y yo nos juntaremos a jugar.;amigo;yo;jugar;yo;¿En cuál de estas palabras se encuentra la letra i griega?;;La palabra yo contiene letra Y griega
193;2;A mi mamá le regalé unos zapatos muy lindos.;mamá;zapatos;lindos;zapatos;¿En cuál de estas palabras se encuentra la letra z?;;La palabra zapatos contiene letra Z
194;2;los zancudos son insectos muy ruidosos.;zancudos;insectos;ruidosos;zancudos;¿En cuál de estas palabras se encuentra la letra z?;;La palabra zancudos contiene letra Z
195;2;Los zorros viven en el desierto y las montañas.;zorros;desierto;montañas;zorros;¿En cuál de estas palabras se encuentra la letra z?;;La palabra zorros contiene letra Z
196;2;Don Pedro cosechó unos zapallos muy grandes.;Pedro;cosechó;zapallos;zapallos;¿En cuál de estas palabras se encuentra la letra z?;;La palabra zapallos contiene letra Z
197;2;José y Arturo visitaron el zoológico.;Arturo;visitaron;zoológico;zoológico;¿En cuál de estas palabras se encuentra la letra z?;;La palabra zoológico contiene letra Z
198;2;La zanahoria tiene muchas vitaminas.;zanahoria;tiene;vitaminas;zanahoria;¿En cuál de estas palabras se encuentra la letra z?;;La palabra zanahoria contiene letra Z
199;2;El collar de Cristina tiene zafiros y perlas.;collar;zafiros;perlas;zafiros;¿En cuál de estas palabras se encuentra la letra z?;;La palabra zafiros contiene letra Z
