id;Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;;;;;;;;
41;2;Cuando fui a la playa dimos un paseo en caballo.;dimos;paseo;caballo;caballo;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
42;2;Me encanta la clase de Ciencias Naturales.;Las;Ciencias;Naturales;Ciencias;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
43;2;Mi profesora se llama Carolina.;Mi;profesora;Carolina;Carolina;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
44;2;Me gusta escuchar música y cantar.;gusta;música;cantar;cantar;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
45;2;Mi abuelita Carmen vendrá a verme mañana.;Carmen;verme;mañana;Carmen;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
46;2;Hoy comí cerezas de postre.;Hoy;cerezas;postre;cerezas;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
47;2;Como hace frío mi mamá preparó cazuela.;frío;mamá;cazuela;cazuela;¿Cuál de las palabras tiene como inicial la letra c?;;;;;;;;;
48;2;Es muy bueno hacer deporte.;muy;bueno;deporte;deporte;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
49;2;A veces me gusta dormir con mis papás.;gusta;dormir;pintar;dormir;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
50;2;Me gusta mucho dibujar y pintar.;gusta;dibujar;papás;dibujar;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
51;2;Con mis amigos juego a lanzar los dados.;Con;amigos;dados;dados;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
52;2;En el desayuno quería comer pan pero estaba duro.;en;pan;duro;duro;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
53;2;Debo lavar muy bien mis dientes para que estén sanos.;lavar;dientes;sanos;dientes;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
54;2;Comer muchos dulces no es bueno para mi salud.;comer;dulces;salud;dulces;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
55;2;Me gusta mucho leer acerca de los dinosaurios.;mucho;leer;dinosaurios;dinosaurios;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
56;2;El delfín es un mamífero que vive en el agua.;delfín;vive;agua;delfín;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
57;2;Anoche jugué dominó con toda mi familia.;anoche;dominó;familia;dominó;¿Cuál de las palabras tiene como inicial la letra d?;;;;;;;;;
58;2;La foca juega con la pelota.;foca;con;pelota;foca;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
59;2;Me regalaron una linda falda.;Me;linda;falda;falda;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
60;2;El fuego nos ayuda a calentarnos.;El;fuego;ayuda;fuego;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
61;2;Me gusta el flan de chocolate.;gusta;flan;chocolate;flan;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
62;2;Las fábulas nos dejan enseñanzas.;fábulas;dejan;enseñanzas;fábulas;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
63;2;Felipe y Luis siempre juegan a la pelota.;Felipe;Luis;pelota;Felipe;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
64;2;Yo juego con mi perrito fuera de la casa.;Yo;perrito;fuera;fuera;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
65;2;Me pone muy feliz estar con mis papás.;pone;feliz;papás;feliz;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
66;2;En septiembre me gusta ir a las fondas.;septiembre;gusta;fondas;fondas;¿Cuál de las palabras tiene como inicial la letra f?;;;;;;;;;
67;2;Mi gato se llama Fígaro.;Mi;gato;llama;gato;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
68;2;Todas mis amigas son muy generosas.;mis;son;generosas;generosas;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
69;2;Mi papá se llama Gerardo.;papá;llama;Gerardo;Gerardo;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
70;2;Mi abuelita tiene muchas gallinas.;abuelita;muchas;gallinas;gallinas;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
71;2;Los leones tienen fuertes garras.;leones;fuertes;garras;garras;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
72;2;Mi mamá dice que no debo comer muchas hamburguesas porque tienen grasa.;mamá;comer;hamburguesas;hamburguesas;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
73;2;Me gustó mucho la película que fui a ver ayer.;gustó;película;ayer;gustó;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
74;2;En mi estuche tengo lápices y goma.;estuche;lápices;goma;goma;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
75;2;Siempre al llegar del colegio guardo mi mochila.;Siempre;colegio;mochila;colegio;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
76;2;El séptimo día de la semana es el domingo.;día;semana;domingo;domingo;¿En cuál de estas palabras se encuentra la letra g?;;;;;;;;;
77;2;Hoy está de cumpleaños mi prima Constanza.;Hoy;cumpleaños;Conztanza;Hoy;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
78;2;En el Polo Norte hay mucha nieve.;Polo;hay;nieve;hay;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
79;2;Me gusta beber jugo con dos cubitos de hielo.;gusta;jugo;hielo;hielo;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
80;2;La exposición de arte dura hasta mañana.;exposición;dura;hasta;hasta;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
81;2;Carlitos visitó un hogar de ancianos.;visitó;hogar;ancianos;hogar;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
82;2;Todos los lunes cantamos el Himno Nacional en la escuela.;lunes;Himno;escuela;Himno;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
83;2;En el zoologico vi un hipopótamo. ;En;zoológico;hipopótamo;hipopótamo;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
84;2;Los higos son frutos muy dulces y jugosos.;higos;frutos;jugosos;higos;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
85;2;La gallina puso veinte huevos en el gallinero.;gallina;huevos;gallineros;huevos;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
86;2;Mi mamá horneó un pastel de chocolate.;horneó;pastel;chocolate;horneó;¿En cuál de estas palabras se encuentra la letra h?;;;;;;;;;
87;2;Las jirafas tienen el cuello muy largo.;jirafas;cuello;largo;jirafas;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
88;2;Andrés y su hermano José fueron al cine.;Andrés;José;cine;José;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
89;2;Ayer encontré una jaiba en la playa.;Ayer;una;jaiba;jaiba;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
90;2;Mañana me juntaré con mis amigos a ver una pelicula.;juntaré;amigos;película;juntaré;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
91;2;Marcelo juega con su amigo Alvaro a la pelota.;juega;amigo;pelota;juega;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
92;2;Juanito compró caramelos y helados.;Juanito;caramelos;helados;Juanito;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
93;2;Mi perrita  es muy juguetona.;perrita;muy;juguetona;juguetona;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
94;2;Doña María cuida mucho las plantas de su jardín.;María;plantas;jardín;jardín;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
95;2;En la mesa hay un jarro y un vaso.;mesa;jarro;vaso;jarro;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
96;2;Un joven ayudó a una abuelita a cruzar la calle.;joven;abuelita;calle;joven;¿En cuál de estas palabras se encuentra la letra j?;;;;;;;;;
97;2;Ayer compramos un kilo de manzanas.;Ayer;kilo;manzanas;kilo;¿En cuál de estas palabras se encuentra la letra k?;;;;;;;;;
98;2;El kiwi es una fruta ácida.;kiwi;una;ácida;kiwi;¿En cuál de estas palabras se encuentra la letra k?;;;;;;;;;
99;2;Valparaíso está a más de 100 kilómetros de Santiago.;Valparaíso;más;kilómetros;kilómetros;¿En cuál de estas palabras se encuentra la letra k?;;;;;;;;;
100;2;Mi abuelita va todos los lunes al kinesiólogo.;abuelita;lunes;kinesiólogo;kinesiólogo;¿En cuál de estas palabras se encuentra la letra k?;;;;;;;;;
101;2;A mi hermano le gusta practicar karate.;hermano;gusta;karate;karate;¿En cuál de estas palabras se encuentra la letra k?;;;;;;;;;
102;2;En el parque hay un lindo loro.;parque;hay;lindo;lindo;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
103;2;La cama de mi abuelita es muy suave.;cama;abuelita;suave;abuelita;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
104;2;Me gusta ir a la playa y jugar con el agua.;gusta;la;jugar;la;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
105;2;El cumpleaños de Lilian estuvo muy entretenido.;Lilian;estuvo;muy;Lilian;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
106;2;El sol de verano es muy fuerte.;sol;verano;fuerte;sol;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
107;2;La maleta de Manuel está pesada.;maleta;está;pesada;maleta;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
108;2;El loro conversa todo el día.;loro;todo;día;loro;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
109;2;A mi lápiz no le queda punta.;lápiz;queda;punta;lápiz;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
110;2;El león ruge fuerte.;león;ruge;fuerte;león;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
111;2;Mi mamá tiene lanas de muchos colores.;mamá;lanas;de;lanas;¿En cuál de estas palabras se encuentra la letra l?;;;;;;;;;
112;2;La mochila de Juan es grande.;mochila;Juan;grande;mochila;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
113;2;Las águilas siempre vuelan alto.;águilas;siempre;vuelan;siempre;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
114;2;La escuela es hermosa.;La;escuela;hermosa;hermosa;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
115;2;Yo tengo muchos amigos.;Yo;tengo;amigos;amigos;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
116;2;Mi tío Hugo anda en moto.;tío;Hugo;moto;moto;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
117;2;En mi barrio tengo muchos amigos.;mi;barrio;tengo;mi;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
118;2;Laura es la mejor amiga de Isidora.;Laura;mejor;Isidora;mejor;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
119;2;Fabían escucha música muy fuerte.;Fabián;música;fuerte;música;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
120;2;El reloj de mi casa suena muy fuerte.;reloj;casa;muy;muy;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
121;2;Me gusta mucho el jugo de manzanas.;gusta;jugo;manzanas;manzanas;¿En cuál de estas palabras se encuentra la letra m?;;;;;;;;;
122;2;El lunes es el primer día de la semana.;lunes;día;la;lunes;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
123;2;Las noches de invierno son muy frías.;noches;muy;frías;noches;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
124;2;Me gusta acostarme en el pasto y mirar las nubes.;gusta;pasto;nubes;nubes;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
125;2;Mi abuelito tiene una nariz grande.;Mi;abuelito;nariz;nariz;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
126;2;Una tórtola hizo un nido en mi jardín.;tórtola;hizo;nido;nido;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
127;2;Me gustaría viajar en una nave espacial.;viajar;nave;espacial;nave;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
128;2;Mi hermana se llama Natalia.;Mi;llama;Natalia;Natalia;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
129;2;Los sábados y domingos no vamos al colegio.;sabados;no;colegio;no;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
130;2;Yo nunca he volado en avión.;Yo;nunca;volado;nunca;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
131;2;Mi perrito Inti tiene su pelaje blanco.;perrito;Inti;pelaje;Inti;¿En cuál de estas palabras se encuentra la letra n?;;;;;;;;;
132;2;En otoño hace mucho frio.;otoño;hace;frío;otoño;¿En cuál de estas palabras se encuentra la letra ñ?;;;;;;;;;
133;2;A Josefina le regalaron una muñeca.;Josefina;regalaron;muñeca;muñeca;¿En cuál de estas palabras se encuentra la letra ñ?;;;;;;;;;
134;2;Las arañas tienen ocho patas.;Las;arañas;ocho;arañas;¿En cuál de estas palabras se encuentra la letra ñ?;;;;;;;;;
135;2;Elena se pintó las uñas de color naranjo.;Elena;uñas;naranjo;uñas;¿En cuál de estas palabras se encuentra la letra ñ?;;;;;;;;;
136;2;Aníbal fue de escursión a la montaña.;Aníbal;escursióm;montaña;montaña;¿En cuál de estas palabras se encuentra la letra ñ?;;;;;;;;;
137;2;Me gusta comer pan con manjar.;gusta;pan;manjar;pan;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
138;2;Mi mamá tiene el pelo muy largo.;mamá;pelo;largo;pelo;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
139;2;Me gusta la pelota de Mario.;gusta;pelota;Mario;pelota;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
140;2;Paula y Camila juegan a las muñecas.;Paula;Camila;muñecas;Paula;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
141;2;Me gusta escuchar música porque me pone contenta.;gusta;música;porque;porque;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
142;2;La mariposa tiene lindos colores.;mariposa;lindos;colores;mariposa;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
143;2;Mi país se llama Chile.;país;llama;Chile;país;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
144;2;A mi papá se le perdió la linterna.;papá;le;linterna;papá;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
145;2;Mis abuelos vendrán a casa para Navidad.;abuelos;casa;para;para;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
146;2;Mis tíos viven en la comuna de Puente Alto.;tíos;Puente;Alto;Puente;¿En cuál de estas palabras se encuentra la letra p?;;;;;;;;;
147;2;El ratón come mucho queso.;ratón;come;queso;queso;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
148;2;La hermana de Margarita tiene quince años.;hermana;Margarita;quince;quince;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
149;2;Mi tía hizo un queque muy rico.;hizo;queque;rico;queque;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
150;2;"Iquique es conocida como la ""Tierra de Campeones"".";Iquique;como;Tierra;Iquique;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
151;2;Quiero mucho a mis padres y a mis hermanos.;Quiero;padres;hermanos;Quiero;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
152;2;El gatito se quedó muy quieto mientras lo acariciaba.;gatito;quedó;mientras;quedó;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
153;2;Patricio llegó quinto lugar en la competencia de atletismo.;Patricio;quinto;competencia;quinto;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
154;2;Me gusta trabajar en equipo con mis amigos.;gusta;equipo;amigos;equipo;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
155;2;Rodrigo se quejó de dolor de muelas.;quejó;dolor;muelas;quejó;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
156;2;Anita quebró el florero de su mamá.;quebró;florero;mamá;quebró;¿En cuál de estas palabras se encuentra la letra q?;;;;;;;;;
157;2;Las ranas son anfibios que viven en todo el mundo.;ranas;anfibios;todo;ranas;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
158;2;Octavio regaló un ramo de flores a su tía.;Octavio;ramo;tía;ramo;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
159;2;El almuerzo estuvo muy rico.;El;estuvo;rico;rico;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
160;2;El árbol tiene muchas hojas y frutos.;árbol;muchas;hojas;árbol;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
161;2;Me gusta leer rimas y poemas.;Me;leer;poemas;leer;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
162;2;El vestido de Camila es rojo con lunares blancos.;vestido;rojo;blancos;rojo;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
163;2;La radio está con un volumen muy alto.;radio;volumen;alto;radio;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
164;2;Ramón visitó a su abuelita el sábado.;Ramón;abuelita;sábado;Ramón;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
165;2;Tengo rosas y tulipanes en mi jardín.;rosas;tulipanes;mi;rosas;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
166;2;Ayer comí un racimo de uvas.;comí;racimo;uvas;racimo;¿En cuál de estas palabras se encuentra la letra r?;;;;;;;;;
167;2;La vaca tiene un lindo pelaje de color blanco y negro.;vaca;lindo;color;vaca;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
168;2;Me gusta tomar jugo en vaso plástico.;gusta;jugo;vaso;vaso;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
169;2;Mis vecinos son muy simpáticos.;vecinos;muy;simpáticos;vecinos;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
170;2;Hoy salí abrigado de casa porque hay mucho viento.;salí;casa;viento;viento;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
171;2;En verano me gusta mucho ir a la playa.;verano;gusta;playa;verano;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
172;2;Todos los viernes salgo más temprano del colegio.;viernes;salgo;colegio;viernes;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
173;2;En mi colegio hay un taller de violín.;hay;taller;violín;violín;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
174;2;Me gusta mucho escuchar a las aves cantar.;gusta;las;aves;aves;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
175;2;Me gustaría viajar en avión.;Me;gustaría;viajar;viajar;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
176;2;Las águilas pueden volar muy alto.;águilas;volar;alto;volar;¿En cuál de estas palabras se encuentra la letra v?;;;;;;;;;
177;2;Isaac Newton es un científico muy conocido.;Newton;científico;conocido;Newton;¿En cuál de estas palabras se encuentra la letra w?;;;;;;;;;
178;2;Antonia vio un video muy interesante en la web.;video;interesante;web;web;¿En cuál de estas palabras se encuentra la letra w?;;;;;;;;;
179;2;Los tíos de Ignacio beben whisky.;tíos;Ignacio;whisky;whisky;¿En cuál de estas palabras se encuentra la letra w?;;;;;;;;;
180;2;Con mi profesora leemos textos muy entretenidos.;mi;leemos;textos;textos;¿En cuál de estas palabras se encuentra la letra x?;;;;;;;;;
181;2;Me gustó mucho la exposición de arte.;gustó;exposición;arte;exposición;¿En cuál de estas palabras se encuentra la letra x?;;;;;;;;;
182;2;La venta de chocolates resultó muy exitosa.;venta;chocolates;exitosa;exitosa;¿En cuál de estas palabras se encuentra la letra x?;;;;;;;;;
183;2;Me gusta mucho la yema del huevo.;gusta;yema;huevo;yema;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
184;2;Mi abuelito tiene una linda yegua en el campo.;abuelito;linda;yegua;yegua;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
185;2;Felipe y Pamela son mis mejores amigos.;y;mis;amigos;y;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
186;2;Todos los veranos voy a la playa con mi familia.;Todos;veranos;playa;playa;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
187;2;No me gusta ponerme inyecciones porque me duelen.;me;inyecciones;duelen;inyecciones;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
188;2;Mi colación favorita es el yogurt con cereales.;favorita;yogurt;cereales;yogurt;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
189;2;Mi mamá todas las mañanas hace yoga.;mamá;las;yoga;yoga;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
190;2;Mi papá dice que cuando era chico jugaba yoyó.;papá;chico;yoyó;yoyó;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
191;2;Me fracturé el pie jugando y debieron ponerme yeso.;Me;pie;yeso;yeso;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
192;2;Mi amigo y yo nos juntaremos a jugar.;amigo;yo;jugar;yo;¿En cuál de estas palabras se encuentra la letra i griega?;;;;;;;;;
193;2;A mi mamá le regalé unos zapatos muy lindos.;mamá;zapatos;lindos;zapatos;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
194;2;los zancudos son insectos muy ruidosos.;zancudos;insectos;ruidosos;zancudos;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
195;2;Los zorros viven en el desierto y las montañas.;zorros;desierto;montañas;zorros;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
196;2;Don Pedro cosechó unos zapallos muy grandes.;Pedro;cosechó;zapallos;zapallos;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
197;2;José y Arturo visitaron el zoológico.;Arturo;visitaron;zoológico;zoológico;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
198;2;La zanahoria tiene muchas vitaminas.;zanahoria;tiene;vitaminas;zanahoria;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
199;2;El collar de Cristina tiene zafiros y perlas.;collar;zafiros;perlas;zafiros;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
200;2;La zampoña es un instrumento musical típico del norte de Chile.;zampoña;instrumento;norte;zampoña;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
201;2;Aries y Acuario son dos signos del zodiaco.;Acuario;signos;zodiaco;zodiaco;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
202;2;El primo de Eduardo es zurdo.;primo;Eduardo;zurdo;zurdo;¿En cuál de estas palabras se encuentra la letra z?;;;;;;;;;
203;3;;amigo;Jaime;;amigo;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
204;3;;dedo;anillo;;anillo;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
205;3;;avión;cielo;;avión;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
206;3;;calle;auto;;auto;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
207;3;;animal;elefante;;animal;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
208;3;;amarillo;celeste;;amarillo;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
209;3;;pintura;artístico;;artístico;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
210;3;;árbol;hojas;;árbol;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
211;3;;telaraña;araña;;araña;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
212;3;;ala;plumas;;ala;¿En cuál de estas  dos palabras  se encuentra la a como sonido inicial?;;;;;;;;;
213;3;;estufa;fuego;;estufa;¿En cuál de estas  dos palabras  se encuentra la a como sonido final?;;;;;;;;;
214;3;;cama;cojín;;cama;¿En cuál de estas  dos palabras  se encuentra la a como sonido final?;;;;;;;;;
