Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen
2;A veces me gusta dormir con mis papás.;gusta;dormir;pintar;dormir;¿Cuál de las palabras tiene como inicial la letra D?;
2;Me gusta mucho dibujar y pintar.;gusta;dibujar;papás;dibujar;¿Cuál de las palabras tiene como inicial la letra D?;
2;Con mis amigos juego a lanzar los dados.;Con;amigos;dados;dados;¿Cuál de las palabras tiene como inicial la letra D?;
2;En el desayuno quería comer pan pero estaba duro.;en;pan;duro;duro;¿Cuál de las palabras tiene como inicial la letra D?;
2;Debo lavar muy bien mis dientes para que estén sanos.;lavar;dientes;sanos;dientes;¿Cuál de las palabras tiene como inicial la letra D?;
2;Comer muchos dulces no es bueno para mi salud.;comer;dulces;salud;dulces;¿Cuál de las palabras tiene como inicial la letra D?;
2;Me gusta mucho leer acerca de los dinosaurios.;mucho;leer;dinosaurios;dinosaurios;¿Cuál de las palabras tiene como inicial la letra D?;
2;El delfín es un mamífero que vive en el agua.;delfín;vive;agua;delfín;¿Cuál de las palabras tiene como inicial la letra D?;
2;Anoche jugué dominó con toda mi familia.;anoche;dominó;familia;dominó;¿Cuál de las palabras tiene como inicial la letra D?;
2;La foca juega con la pelota.;foca;con;pelota;foca;¿Cuál de las palabras tiene como inicial la letra F?;
2;Me regalaron una linda falda.;Me;linda;falda;falda;¿Cuál de las palabras tiene como inicial la letra F?;
2;El fuego nos ayuda a calentarnos.;El;fuego;ayuda;fuego;¿Cuál de las palabras tiene como inicial la letra F?;
2;Me gusta el flan de chocolate.;gusta;flan;chocolate;flan;¿Cuál de las palabras tiene como inicial la letra F?;
2;Las fábulas nos dejan enseñanzas.;fábulas;dejan;enseñanzas;fábulas;¿Cuál de las palabras tiene como inicial la letra F?;
2;Felipe y Luis siempre juegan a la pelota.;Felipe;Luis;pelota;Felipe;¿Cuál de las palabras tiene como inicial la letra F?;
2;Yo juego con mi perrito fuera de la casa.;Yo;perrito;fuera;fuera;¿Cuál de las palabras tiene como inicial la letra F?;
2;Me pone muy feliz estar con mis papás.;pone;feliz;papás;feliz;¿Cuál de las palabras tiene como inicial la letra F?;
2;En septiembre me gusta ir a las fondas.;septiembre;gusta;fondas;fondas;¿Cuál de las palabras tiene como inicial la letra F?;
2;Mi gato se llama Fígaro.;Mi;gato;llama;gato;¿En cuál de estas palabras se encuentra la letra G?;
2;Todas mis amigas son muy generosas.;mis;son;generosas;generosas;¿En cuál de estas palabras se encuentra la letra G?;
2;Mi papá se llama Gerardo.;papá;llama;Gerardo;Gerardo;¿En cuál de estas palabras se encuentra la letra G?;
2;Mi abuelita tiene muchas gallinas.;abuelita;muchas;gallinas;gallinas;¿En cuál de estas palabras se encuentra la letra G?;
2;Los leones tienen fuertes garras.;leones;fuertes;garras;garras;¿En cuál de estas palabras se encuentra la letra G?;
2;Mi mamá dice que no debo comer muchas hamburguesas porque tienen grasa.;mamá;comer;hamburguesas;hamburguesas;¿En cuál de estas palabras se encuentra la letra G?;
2;Me gustó mucho la película que fui a ver ayer.;gustó;película;ayer;gustó;¿En cuál de estas palabras se encuentra la letra G?;
2;En mi estuche tengo lápices y goma.;estuche;lápices;goma;goma;¿En cuál de estas palabras se encuentra la letra G?;
2;Siempre al llegar del colegio guardo mi mochila.;Siempre;colegio;mochila;colegio;¿En cuál de estas palabras se encuentra la letra G?;
2;El séptimo día de la semana es el domingo.;día;semana;domingo;domingo;¿En cuál de estas palabras se encuentra la letra G?;
2;Hoy está de cumpleaños mi prima Constanza.;Hoy;cumpleaños;Conztanza;Hoy;¿En cuál de estas palabras se encuentra la letra H?;
2;En el Polo Norte hay mucha nieve.;Polo;hay;nieve;hay;¿En cuál de estas palabras se encuentra la letra H?;
2;Me gusta beber jugo con dos cubitos de hielo.;gusta;jugo;hielo;hielo;¿En cuál de estas palabras se encuentra la letra H?;
2;La exposición de arte dura hasta mañana.;exposición;dura;hasta;hasta;¿En cuál de estas palabras se encuentra la letra H?;
2;Carlitos visitó un hogar de ancianos.;visitó;hogar;ancianos;hogar;¿En cuál de estas palabras se encuentra la letra H?;
2;Todos los lunes cantamos el Himno Nacional en la escuela.;lunes;Himno;escuela;Himno;¿En cuál de estas palabras se encuentra la letra H?;
2;En el zoologico vi un hipopótamo. ;En;zoológico;hipopótamo;hipopótamo;¿En cuál de estas palabras se encuentra la letra H?;
2;Los higos son frutos muy dulces y jugosos.;higos;frutos;jugosos;higos;¿En cuál de estas palabras se encuentra la letra H?;
2;La gallina puso veinte huevos en el gallinero.;gallina;huevos;gallineros;huevos;¿En cuál de estas palabras se encuentra la letra H?;
2;Mi mamá horneó un pastel de chocolate.;horneó;pastel;chocolate;horneó;¿En cuál de estas palabras se encuentra la letra H?;
2;Las jirafas tienen el cuello muy largo.;jirafas;cuello;largo;jirafas;¿En cuál de estas palabras se encuentra la letra J?;
2;Andrés y su hermano José fueron al cine.;Andrés;José;cine;José;¿En cuál de estas palabras se encuentra la letra J?;
2;Ayer encontré una jaiba en la playa.;Ayer;una;jaiba;jaiba;¿En cuál de estas palabras se encuentra la letra J?;
2;Mañana me juntaré con mis amigos a ver una pelicula.;juntaré;amigos;película;juntaré;¿En cuál de estas palabras se encuentra la letra J?;
2;Marcelo juega con su amigo Alvaro a la pelota.;juega;amigo;pelota;juega;¿En cuál de estas palabras se encuentra la letra J?;
2;Juanito compró caramelos y helados.;Juanito;caramelos;helados;Juanito;¿En cuál de estas palabras se encuentra la letra J?;
2;Mi perrita  es muy juguetona.;perrita;muy;juguetona;juguetona;¿En cuál de estas palabras se encuentra la letra J?;
2;Doña María cuida mucho las plantas de su jardín.;María;plantas;jardín;jardín;¿En cuál de estas palabras se encuentra la letra J?;
2;En la mesa hay un jarro y un vaso.;mesa;jarro;vaso;jarro;¿En cuál de estas palabras se encuentra la letra J?;
2;Un joven ayudó a una abuelita a cruzar la calle.;joven;abuelita;calle;joven;¿En cuál de estas palabras se encuentra la letra J?;
2;Ayer compramos un kilo de manzanas.;Ayer;kilo;manzanas;kilo;¿En cuál de estas palabras se encuentra la letra K?;
2;El kiwi es una fruta ácida.;kiwi;una;ácida;kiwi;¿En cuál de estas palabras se encuentra la letra K?;
2;Valparaíso está a más de 100 kilómetros de Santiago.;Valparaíso;más;kilómetros;kilómetros;¿En cuál de estas palabras se encuentra la letra K?;
2;Mi abuelita va todos los lunes al kinesiólogo.;abuelita;lunes;kinesiólogo;kinesiólogo;¿En cuál de estas palabras se encuentra la letra K?;
2;A mi hermano le gusta practicar karate.;hermano;gusta;karate;karate;¿En cuál de estas palabras se encuentra la letra K?;
2;En el parque hay un lindo loro.;parque;hay;lindo;lindo;¿En cuál de estas palabras se encuentra la letra L?;
2;La cama de mi abuelita es muy suave.;cama;abuelita;suave;abuelita;¿En cuál de estas palabras se encuentra la letra L?;
2;Me gusta ir a la playa y jugar con el agua.;gusta;la;jugar;la;¿En cuál de estas palabras se encuentra la letra L?;
2;El cumpleaños de Lilian estuvo muy entretenido.;Lilian;estuvo;muy;Lilian;¿En cuál de estas palabras se encuentra la letra L?;
2;El sol de verano es muy fuerte.;sol;verano;fuerte;sol;¿En cuál de estas palabras se encuentra la letra L?;
2;La maleta de Manuel está pesada.;maleta;está;pesada;maleta;¿En cuál de estas palabras se encuentra la letra L?;
2;El loro conversa todo el día.;loro;todo;día;loro;¿En cuál de estas palabras se encuentra la letra L?;
2;A mi lápiz no le queda punta.;lápiz;queda;punta;lápiz;¿En cuál de estas palabras se encuentra la letra L?;
2;El león ruge fuerte.;león;ruge;fuerte;león;¿En cuál de estas palabras se encuentra la letra L?;
2;Mi mamá tiene lanas de muchos colores.;mamá;lanas;de;lanas;¿En cuál de estas palabras se encuentra la letra L?;
2;La mochila de Juan es grande.;mochila;Juan;grande;mochila;¿En cuál de estas palabras se encuentra la letra M?;
2;Las águilas siempre vuelan alto.;águilas;siempre;vuelan;siempre;¿En cuál de estas palabras se encuentra la letra M?;
2;La escuela es hermosa.;La;escuela;hermosa;hermosa;¿En cuál de estas palabras se encuentra la letra M?;
2;Yo tengo muchos amigos.;Yo;tengo;amigos;amigos;¿En cuál de estas palabras se encuentra la letra M?;
2;Mi tío Hugo anda en moto.;tío;Hugo;moto;moto;¿En cuál de estas palabras se encuentra la letra M?;
2;En mi barrio tengo muchos amigos.;mi;barrio;tengo;mi;¿En cuál de estas palabras se encuentra la letra M?;
2;Laura es la mejor amiga de Isidora.;Laura;mejor;Isidora;mejor;¿En cuál de estas palabras se encuentra la letra M?;
2;Fabían escucha música muy fuerte.;Fabián;música;fuerte;música;¿En cuál de estas palabras se encuentra la letra M?;
2;El reloj de mi casa suena muy fuerte.;reloj;casa;muy;muy;¿En cuál de estas palabras se encuentra la letra M?;
2;Me gusta mucho el jugo de manzanas.;gusta;jugo;manzanas;manzanas;¿En cuál de estas palabras se encuentra la letra M?;
2;El lunes es el primer día de la semana.;lunes;día;la;lunes;¿En cuál de estas palabras se encuentra la letra N?;
2;Las noches de invierno son muy frías.;noches;muy;frías;noches;¿En cuál de estas palabras se encuentra la letra N?;
2;Me gusta acostarme en el pasto y mirar las nubes.;gusta;pasto;nubes;nubes;¿En cuál de estas palabras se encuentra la letra N?;
2;Mi abuelito tiene una nariz grande.;Mi;abuelito;nariz;nariz;¿En cuál de estas palabras se encuentra la letra N?;
2;Una tórtola hizo un nido en mi jardín.;tórtola;hizo;nido;nido;¿En cuál de estas palabras se encuentra la letra N?;
2;Me gustaría viajar en una nave espacial.;viajar;nave;espacial;nave;¿En cuál de estas palabras se encuentra la letra N?;
2;Mi hermana se llama Natalia.;Mi;llama;Natalia;Natalia;¿En cuál de estas palabras se encuentra la letra N?;
2;Los sábados y domingos no vamos al colegio.;sabados;no;colegio;no;¿En cuál de estas palabras se encuentra la letra N?;
2;Yo nunca he volado en avión.;Yo;nunca;volado;nunca;¿En cuál de estas palabras se encuentra la letra N?;
2;Mi perrito Inti tiene su pelaje blanco.;perrito;Inti;pelaje;Inti;¿En cuál de estas palabras se encuentra la letra N?;
2;En otoño hace mucho frio.;otoño;hace;frío;otoño;¿En cuál de estas palabras se encuentra la letra Ñ?;
2;A Josefina le regalaron una muñeca.;Josefina;regalaron;muñeca;muñeca;¿En cuál de estas palabras se encuentra la letra Ñ?;
2;Las arañas tienen ocho patas.;Las;arañas;ocho;arañas;¿En cuál de estas palabras se encuentra la letra Ñ?;
2;Elena se pintó las uñas de color naranjo.;Elena;uñas;naranjo;uñas;¿En cuál de estas palabras se encuentra la letra Ñ?;
2;Aníbal fue de escursión a la montaña.;Aníbal;escursióm;montaña;montaña;¿En cuál de estas palabras se encuentra la letra Ñ?;
2;Me gusta comer pan con manjar.;gusta;pan;manjar;pan;¿En cuál de estas palabras se encuentra la letra P?;
2;Mi mamá tiene el pelo muy largo.;mamá;pelo;largo;pelo;¿En cuál de estas palabras se encuentra la letra P?;
2;Me gusta la pelota de Mario.;gusta;pelota;Mario;pelota;¿En cuál de estas palabras se encuentra la letra P?;
2;Paula y Camila juegan a las muñecas.;Paula;Camila;muñecas;Paula;¿En cuál de estas palabras se encuentra la letra P?;
2;Me gusta escuchar música porque me pone contenta.;gusta;música;porque;porque;¿En cuál de estas palabras se encuentra la letra P?;
2;La mariposa tiene lindos colores.;mariposa;lindos;colores;mariposa;¿En cuál de estas palabras se encuentra la letra P?;
2;Mi país se llama Chile.;país;llama;Chile;país;¿En cuál de estas palabras se encuentra la letra P?;
2;A mi papá se le perdió la linterna.;papá;le;linterna;papá;¿En cuál de estas palabras se encuentra la letra P?;
2;Mis abuelos vendrán a casa para Navidad.;abuelos;casa;para;para;¿En cuál de estas palabras se encuentra la letra P?;
2;Mis tíos viven en la comuna de Puente Alto.;tíos;Puente;Alto;Puente;¿En cuál de estas palabras se encuentra la letra P?;
2;El ratón come mucho queso.;ratón;come;queso;queso;¿En cuál de estas palabras se encuentra la letra Q?;
2;La hermana de Margarita tiene quince años.;hermana;Margarita;quince;quince;¿En cuál de estas palabras se encuentra la letra Q?;
2;Mi tía hizo un queque muy rico.;hizo;queque;rico;queque;¿En cuál de estas palabras se encuentra la letra Q?;
2;"Iquique es conocida como la ""Tierra de Campeones"".";Iquique;como;Tierra;Iquique;¿En cuál de estas palabras se encuentra la letra Q?;
2;Quiero mucho a mis padres y a mis hermanos.;Quiero;padres;hermanos;Quiero;¿En cuál de estas palabras se encuentra la letra Q?;
2;El gatito se quedó muy quieto mientras lo acariciaba.;gatito;quedó;mientras;quedó;¿En cuál de estas palabras se encuentra la letra Q?;
2;Patricio llegó quinto lugar en la competencia de atletismo.;Patricio;quinto;competencia;quinto;¿En cuál de estas palabras se encuentra la letra Q?;
2;Me gusta trabajar en equipo con mis amigos.;gusta;equipo;amigos;equipo;¿En cuál de estas palabras se encuentra la letra Q?;
2;Rodrigo se quejó de dolor de muelas.;quejó;dolor;muelas;quejó;¿En cuál de estas palabras se encuentra la letra Q?;
2;Anita quebró el florero de su mamá.;quebró;florero;mamá;quebró;¿En cuál de estas palabras se encuentra la letra Q?;
2;Las ranas son anfibios que viven en todo el mundo.;ranas;anfibios;todo;ranas;¿En cuál de estas palabras se encuentra la letra R?;
2;Octavio regaló un ramo de flores a su tía.;Octavio;ramo;tía;ramo;¿En cuál de estas palabras se encuentra la letra R?;
2;El almuerzo estuvo muy rico.;El;estuvo;rico;rico;¿En cuál de estas palabras se encuentra la letra R?;
2;El árbol tiene muchas hojas y frutos.;árbol;muchas;hojas;árbol;¿En cuál de estas palabras se encuentra la letra R?;
2;Me gusta leer rimas y poemas.;Me;leer;poemas;leer;¿En cuál de estas palabras se encuentra la letra R?;
2;El vestido de Camila es rojo con lunares blancos.;vestido;rojo;blancos;rojo;¿En cuál de estas palabras se encuentra la letra R?;
2;La radio está con un volumen muy alto.;radio;volumen;alto;radio;¿En cuál de estas palabras se encuentra la letra R?;
2;Ramón visitó a su abuelita el sábado.;Ramón;abuelita;sábado;Ramón;¿En cuál de estas palabras se encuentra la letra R?;
2;Tengo rosas y tulipanes en mi jardín.;rosas;tulipanes;mi;rosas;¿En cuál de estas palabras se encuentra la letra R?;
2;Ayer comí un racimo de uvas.;comí;racimo;uvas;racimo;¿En cuál de estas palabras se encuentra la letra R?;
2;La vaca tiene un lindo pelaje de color blanco y negro.;vaca;lindo;color;vaca;¿En cuál de estas palabras se encuentra la letra v?;
2;Me gusta tomar jugo en vaso plástico.;gusta;jugo;vaso;vaso;¿En cuál de estas palabras se encuentra la letra v?;
2;Mis vecinos son muy simpáticos.;vecinos;muy;simpáticos;vecinos;¿En cuál de estas palabras se encuentra la letra v?;
2;Hoy salí abrigado de casa porque hay mucho viento.;salí;casa;viento;viento;¿En cuál de estas palabras se encuentra la letra v?;
2;En verano me gusta mucho ir a la playa.;verano;gusta;playa;verano;¿En cuál de estas palabras se encuentra la letra v?;
2;Todos los viernes salgo más temprano del colegio.;viernes;salgo;colegio;viernes;¿En cuál de estas palabras se encuentra la letra v?;
2;En mi colegio hay un taller de violín.;hay;taller;violín;violín;¿En cuál de estas palabras se encuentra la letra v?;
2;Me gusta mucho escuchar a las aves cantar.;gusta;las;aves;aves;¿En cuál de estas palabras se encuentra la letra v?;
2;Me gustaría viajar en avión.;Me;gustaría;viajar;viajar;¿En cuál de estas palabras se encuentra la letra v?;
2;Las águilas pueden volar muy alto.;águilas;volar;alto;volar;¿En cuál de estas palabras se encuentra la letra v?;
2;Isaac Newton es un científico muy conocido.;Newton;científico;conocido;Newton;¿En cuál de estas palabras se encuentra la letra W?;
2;Antonia vio un video muy interesante en la web.;video;interesante;web;web;¿En cuál de estas palabras se encuentra la letra W?;
2;Los tíos de Ignacio beben whisky.;tíos;Ignacio;whisky;whisky;¿En cuál de estas palabras se encuentra la letra W?;
2;Con mi profesora leemos textos muy entretenidos.;mi;leemos;textos;textos;¿En cuál de estas palabras se encuentra la letra x?;
2;Me gustó mucho la exposición de arte.;gustó;exposición;arte;exposición;¿En cuál de estas palabras se encuentra la letra x?;
2;La venta de chocolates resultó muy exitosa.;venta;chocolates;exitosa;exitosa;¿En cuál de estas palabras se encuentra la letra x?;
2;Me gusta mucho la yema del huevo.;gusta;yema;huevo;yema;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Mi abuelito tiene una linda yegua en el campo.;abuelito;linda;yegua;yegua;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Felipe y Pamela son mis mejores amigos.;y;mis;amigos;y;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Todos los veranos voy a la playa con mi familia.;Todos;veranos;playa;playa;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;No me gusta ponerme inyecciones porque me duelen.;me;inyecciones;duelen;inyecciones;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Mi colación favorita es el yogurt con cereales.;favorita;yogurt;cereales;yogurt;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Mi mamá todas las mañanas hace yoga.;mamá;las;yoga;yoga;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Mi papá dice que cuando era chico jugaba yoyó.;papá;chico;yoyó;yoyó;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Me fracturé el pie jugando y debieron ponerme yeso.;Me;pie;yeso;yeso;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;Mi amigo y yo nos juntaremos a jugar.;amigo;yo;jugar;yo;¿En cuál de estas palabras se encuentra la letra Y griega?;
2;A mi mamá le regalé unos zapatos muy lindos.;mamá;zapatos;lindos;zapatos;¿En cuál de estas palabras se encuentra la letra Z?;
2;los zancudos son insectos muy ruidosos.;zancudos;insectos;ruidosos;zancudos;¿En cuál de estas palabras se encuentra la letra Z?;
2;Los zorros viven en el desierto y las montañas.;zorros;desierto;montañas;zorros;¿En cuál de estas palabras se encuentra la letra Z?;
2;Don Pedro cosechó unos zapallos muy grandes.;Pedro;cosechó;zapallos;zapallos;¿En cuál de estas palabras se encuentra la letra Z?;
2;José y Arturo visitaron el zoológico.;Arturo;visitaron;zoológico;zoológico;¿En cuál de estas palabras se encuentra la letra Z?;
2;La zanahoria tiene muchas vitaminas.;zanahoria;tiene;vitaminas;zanahoria;¿En cuál de estas palabras se encuentra la letra Z?;
2;El collar de Cristina tiene zafiros y perlas.;collar;zafiros;perlas;zafiros;¿En cuál de estas palabras se encuentra la letra Z?;
2;La zampoña es un instrumento musical típico del norte de Chile.;zampoña;instrumento;norte;zampoña;¿En cuál de estas palabras se encuentra la letra Z?;
2;Aries y Acuario son dos signos del zodiaco.;Acuario;signos;zodiaco;zodiaco;¿En cuál de estas palabras se encuentra la letra Z?;
2;El primo de Eduardo es zurdo.;primo;Eduardo;zurdo;zurdo;¿En cuál de estas palabras se encuentra la letra Z?;
3;;amigo;Jaime;;amigo;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;dedo;anillo;;anillo;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;avión;cielo;;avión;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;calle;auto;;auto;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;animal;elefante;;animal;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;amarillo;celeste;;amarillo;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;pintura;artístico;;artístico;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;árbol;hojas;;árbol;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;telaraña;araña;;araña;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;ala;plumas;;ala;¿En cuál de estas  dos palabras  se encuentra la A como sonido inicial?;
3;;estufa;fuego;;estufa;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;cama;cojín;;cama;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;noche;estrella;;estrella;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;escalera;techo;;escalera;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;rastrillo;pala;;pala;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;paloma;árbol;;paloma;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;nube;lluvia;;lluvia;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;escoba;piso;;escoba;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;profesora;pizarrón;;profesora;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;gallina;gallo;;gallina;¿En cuál de estas  dos palabras  se encuentra la A como sonido final?;
3;;escalera;techo;;escalera;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;luna;estrella;;estrella;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;escuela;profesora;;escuela;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;espada;soldado;;espada;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;cuaderno;escritorio;;escritorio;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;casa;estufa;;estufa;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;escoba;patio;;escoba;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;niña;espejo;;espejo;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;enano;duende;;enano;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;estornudo;boca;;estornudo;¿En cuál de estas  dos palabras  se encuentra la E como sonido inicial?;
3;;bosque;árbol;;bosque;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;botella;jarabe;;jarabe;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;ave;rama;;ave;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;mujer;hombre;;hombre;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;puente;río;;puente;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;pierna;pie;;pie;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;tigresa;tigre;;tigre;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;rinoceronte;río;;rinoceronte;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;tomate;cebolla;;tomate;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;golosina;chocolate;;chocolate;¿En cuál de estas  dos palabras  se encuentra la E como sonido final?;
3;;isla;tierra;;isla;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;cangrejo;iguana;;iguana;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;imán;mesa;;imán;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;casa;iglú;;iglú;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;mexicano ;indio;;indio;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;meñique;índice;;índice;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;idea;pensamiento ;;idea;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;inflar;toser;;inflar;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;Isabel;Carlos;;Isabel;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;inicio;final;;inicio;¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?;
3;;apio;ají;;ají;¿En cuál de estas  dos palabras  se encuentra la I como sonido final?;
3;;ave;colibrí ;;colibrí ;¿En cuál de estas  dos palabras  se encuentra la I como sonido final?;
3;;taxi;auto;;taxi;¿En cuál de estas  dos palabras  se encuentra la I como sonido final?;
3;;jabalí;jirafa;;jabalí;¿En cuál de estas  dos palabras  se encuentra la I como sonido final?;
3;;safari;África;;safari;¿En cuál de estas  dos palabras  se encuentra la I como sonido final?;
3;;amarillo;caqui;;caqui;¿En cuál de estas  dos palabras  se encuentra la I como sonido final?;
3;;diamante;rubí;;rubí;¿En cuál de estas  dos palabras  se encuentra la I como sonido final?;
