Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;feedback
2;Me gusta escuchar música y bailar.;gusta;música;bailar;música;"¿Cuál palabra contiene la letra ""c""?";;"""música""  contiene la letra ""c"""
2;Mi abuelita Marcela vendrá a verme mañana.;Marcela;verme;mañana;Marcela;"¿Cuál palabra contiene la letra ""c""?";;"""Marcela""  contiene la letra ""c"""
2;Hoy comí salchichas con puré.;Hoy;salchichas;puré;salchichas;"¿Cuál palabra contiene la letra ""c""?";;"""salchichas"" contiene la letra ""c"""
2;"El ""futbol"" debiera ser deporte nacional.";debiera;nacional;deporte;nacional;"¿Cuál palabra contiene la letra ""c""?";;"""nacional"" contiene la letra ""c"""
2;Es muy bueno hacer deporte.;muy;bueno;deporte;deporte;"¿Cuál de estas palabras comienza con ""d""?";;"""deporte"" comienza con ""d"""
2;A veces me gusta dormir con mis papás.;gusta;dormir;pintar;dormir;"¿Cuál de estas palabras comienza con ""d""?";;"""dormir"" comienza con ""d"""
2;Me gusta mucho dibujar y pintar.;gusta;dibujar;papás;dibujar;"¿Cuál de estas palabras comienza con ""d""?";;"""dibujar"" comienza con ""d"""
2;Con mis amigos juego a lanzar los dados.;Con;amigos;dados;dados;"¿Cuál de estas palabras comienza con ""d""?";;"""dados"" comienza con ""d"""
2;En el desayuno quería comer pan pero estaba duro.;en;pan;duro;duro;"¿Cuál de estas palabras comienza con ""d""?";;"""duro"" comienza con ""d"""
2;A río revuelto ganancia de pescadores.;revuelto;ganancia;pescadores;pescadores;"¿Cuál palabra contiene la letra ""d""?";;"""pescadores"" contiene la letra ""d"""
2;Cantar bailando cueca es mi única pasión.;bailando;única;timbres;bailando;"¿Cuál palabra contiene la letra ""d""?";;"""bailando"" contiene la letra ""d"""
2;Aquel que guarda siempre tiene;guarda;aquel;tiene;guarda;"¿Cuál palabra contiene la letra ""d""?";;"""guarda"" contiene la letra ""d"""
2;La ballena es un mamífero nadador.;ballena;nadador;mamífero;nadador;"¿Cuál palabra contiene la letra ""d""?";;"""nadador"" contiene la letra ""d"""
2;Anoche jugué Wii con toda mi familia.;anoche;toda;familia;toda;"¿Cuál palabra contiene la letra ""d""?";;"""toda"" contiene la letra ""d"""
2;La foca juega con la pelota.;foca;juega;pelota;foca;"¿Cuál de estas palabras comienza con ""f""?";;"""foca"" comienza con ""f"""
2;Me regalaron una linda falda.;Me;linda;falda;falda;"¿Cuál de estas palabras comienza con ""f""?";;"""falda"" comienza con ""f"""
2;El fuego nos ayuda a calentarnos.;El;fuego;ayuda;fuego;"¿Cuál de estas palabras comienza con ""f""?";;"""fuego"" comienza con ""f"""
2;Me gusta el flan de chocolate.;gusta;flan;chocolate;flan;"¿Cuál de estas palabras comienza con ""f""?";;"""flan"" comienza con ""f"""
2;Las fábulas nos dejan enseñanzas.;fábulas;dejan;enseñanzas;fábulas;"¿Cuál de estas palabras comienza con ""f""?";;"""fábulas"" comienza con ""f"""
2;El que sabe sabe y el que no, es jefe.;sabe;que;jefe;jefe;"¿Cuál palabra contiene la letra ""f""?";;"""jefe"" contiene ""f"""
2;Yo prefiero comer salchichas con puré en el almuerzo.;prefiero;puré;almuerzo;prefiero;"¿Cuál palabra contiene la letra ""f""?";;"""prefiero"" contiene ""f"""
2;Usaré un disfraz de Hulk para Halloween.;Usaré;disfraz;para;disfraz;"¿Cuál palabra contiene la letra ""f""?";;"""disfraz"" contiene ""f"""
2;Amo mis juguetes porque son todos diferentes entre ellos.;juguete;gusta;diferentes;diferentes;"¿Cuál palabra contiene la letra ""f""?";;"""diferentes"" contiene ""f"""
2;Mi gato se llama Fígaro.;Mi;gato;llama;gato;"¿Cuál de estas palabras comienza con ""g""?";;"""gato"" comienza con ""g"""
2;Todas mis amigas son muy generosas.;mis;son;generosas;generosas;"¿Cuál de estas palabras comienza con ""g""?";;"""generosas"" comienza con ""g"""
2;Mi papá se llama Gerardo.;papá;llama;Gerardo;Gerardo;"¿Cuál de estas palabras comienza con ""g""?";;"""Gerardo"" comienza con ""g"""
2;Mi abuelita tiene muchas gallinas.;abuelita;muchas;gallinas;gallinas;"¿Cuál de estas palabras comienza con ""g""?";;"""gallinas"" comienza con ""g"""
2;Los leones tienen fuertes garras.;leones;fuertes;garras;garras;"¿Cuál de estas palabras comienza con ""g""?";;"""garras"" comienza con ""g"""
2;Agua que no has de beber déjala correr;Agua;beber;correr;Agua;"¿Cuál palabra contiene la letra ""g""?";;"""Agua"" contiene ""g"""
2;Mi papá siempre hace el fuego para los asados.;fuego;papá;asados;fuego;"¿Cuál palabra contiene la letra ""g""?";;"""fuego"" contiene ""g"""
2;Siempre llevo conmigo mi estuche y mi colación.;estuche;colación;conmigo;conmigo;"¿Cuál palabra contiene la letra ""g""?";;"""conmigo"" contiene ""g"""
2;Siempre al llegar del colegio guardo mi mochila.;Siempre;colegio;mochila;colegio;"¿Cuál palabra contiene la letra ""g""?";;"""colegio"" contiene ""g"""
2;El séptimo día de la semana es el domingo.;día;semana;domingo;domingo;"¿Cuál palabra contiene la letra ""g""?";;"""Domingo"" contiene ""g"""
2;Hoy está de cumpleaños mi prima Constanza.;Hoy;cumpleaños;Constanza;Hoy;"¿Cuál de estas palabras comienza con ""h""?";;"""hoy""  comienza con ""h"""
2;En el Polo Norte hay mucha nieve.;Polo;hay;nieve;hay;"¿Cuál de estas palabras comienza con ""h""?";;"""hay"" comienza con ""h"""
2;Me gusta beber jugo con dos cubitos de hielo.;gusta;jugo;hielo;hielo;"¿Cuál de estas palabras comienza con ""h""?";;"""hielo"" comienza con ""h"""
2;La exposición de arte dura hasta mañana.;exposición;dura;hasta;hasta;"¿Cuál de estas palabras comienza con ""h""?";;"""hasta"" comienza con ""h"""
2;Carlitos visitó un hogar de ancianos.;visitó;hogar;ancianos;hogar;"¿Cuál de estas palabras comienza con ""h""?";;"""hogar"" comienza con ""h"""
2;Todos los lunes cantamos el Himno Nacional en la escuela.;lunes;Himno;escuela;Himno;"¿Cuál de estas palabras comienza con ""h""?";;"""himno"" comienza con ""h"""
2;En el zoologico vi un hipopótamo.;En;zoológico;hipopótamo;hipopótamo;"¿Cuál de estas palabras comienza con ""h""?";;"""hipopótamo"" comienza con ""h"""
2;Los higos son frutos muy dulces y jugosos.;higos;frutos;jugosos;higos;"¿Cuál de estas palabras comienza con ""h""?";;"""higos"" comienza con ""h"""
2;La gallina puso veinte huevos en el gallinero.;gallina;huevos;gallineros;huevos;"¿Cuál de estas palabras comienza con ""h""?";;"""huevos"" comienza con ""h"""
2;Mi mamá horneó un pastel de chocolate.;horneó;pastel;chocolate;horneó;"¿Cuál de estas palabras comienza con ""h""?";;"""horneó"" comienza con ""h"""
2;Las jirafas tienen el cuello muy largo.;jirafas;cuello;largo;jirafas;"¿Cuál de estas palabras comienza con ""j""?";;"""jirafas"" comienza con ""J"""
2;Andrés y su hermano José fueron al cine.;Andrés;José;cine;José;"¿Cuál de estas palabras comienza con ""j""?";;"""José"" comienza con ""J"""
2;Ayer encontré una jaiba en la playa.;Ayer;una;jaiba;jaiba;"¿Cuál de estas palabras comienza con ""j""?";;"""jaiba"" comienza con ""J"""
2;Mañana me juntaré con mis amigos a ver una pelicula.;juntaré;amigos;película;juntaré;"¿Cuál de estas palabras comienza con ""j""?";;"""juntaré"" comienza con ""J"""
2;Marcelo juega con su amigo Alvaro a la pelota.;juega;amigo;pelota;juega;"¿Cuál de estas palabras comienza con ""j""?";;"""juega"" comienza con ""J"""
2;Mi tio Samuel es relojero.;Samuel;relojero;tío;relojero;"¿Cuál palabra contiene la letra ""j""?";;"""relojero""  contiene la letra ""j"""
2;Alicia en el país de las maravillas tiene una niña, un sombrerero y un conejo.;conejo;Alicia;sombrerero;conejo;"¿Cuál palabra contiene la letra ""j""?";;"""conejo"" contiene la letra ""j"""
2;Por hacer muchos aviones de papel me quedé sin hojas en el cuaderno.;aviones;papel;hojas;hojas;"¿Cuál palabra contiene la letra ""j""?";;"""hojas"" contiene la letra ""j"""
2;Mañana iré con mi curso a conocer una granja.;granja;curso;Mañana;granja;"¿Cuál palabra contiene la letra ""j""?";;"""granja"" contiene la letra ""j"""
2;La vecina sale temprano de su casa para ir a trabajar.;temprano;vecina;trabajar;trabajar;"¿Cuál palabra contiene la letra ""j""?";;"""trabajar"" contiene la letra ""j"""
2;Ayer compramos un kilo de manzanas.;Ayer;kilo;manzanas;kilo;"¿Cuál de estas palabras comienza con ""k""?";;"""kilo"" comienza con ""k"""
2;El kiwi es una fruta ácida.;kiwi;una;ácida;kiwi;"¿Cuál de estas palabras comienza con ""k""?";;"""kiwi"" comienza con ""k"""
2;Valparaíso está a más de 100 kilómetros de Santiago.;Valparaíso;más;kilómetros;kilómetros;"¿Cuál de estas palabras comienza con ""k""?";;"""kilómetros"" comienza con ""k"""
2;Mi abuelita va todos los lunes al kinesiólogo.;abuelita;lunes;kinesiólogo;kinesiólogo;"¿Cuál de estas palabras comienza con ""k""?";;"""kinesiólogo"" comienza con ""k"""
2;A mi hermano le gusta practicar karate.;hermano;gusta;karate;karate;"¿Cuál de estas palabras comienza con ""k""?";;"""karate""  comienza con ""k"""
2;En el parque hay un lindo loro.;parque;hay;lindo;lindo;"¿Cuál de estas palabras comienza con ""L""?";;"""lindo"" comienza con ""L"""
2;La cama de mi abuelita es muy suave.;cama;abuelita;suave;abuelita;"¿Cuál palabra contiene la letra ""L""?";;"""abuelita"" contiene ""L"""
2;Me gusta ir a la playa y jugar con el agua.;gusta;la;jugar;la;"¿Cuál de estas palabras comienza con ""L""?";;"""la"" comienza con ""L"""
2;El cumpleaños de Lilian estuvo muy entretenido.;Lilian;estuvo;muy;Lilian;"¿Cuál de estas palabras comienza con ""L""?";;"""Lilian"" comienza con ""L"""
2;El sol de verano es muy fuerte.;sol;verano;fuerte;sol;"¿Cuál palabra contiene la letra ""L""?";;"""sol"" contiene ""L"""
2;La maleta de Manuel está pesada.;maleta;está;pesada;maleta;"¿Cuál palabra contiene la letra ""L""?";;"""maleta"" contiene ""L"""
2;El loro conversa todo el día.;loro;todo;día;loro;"¿Cuál de estas palabras comienza con ""L""?";;"""loro"" comienza con ""L"""
2;A mi lápiz no le queda punta.;lápiz;queda;punta;lápiz;"¿Cuál de estas palabras comienza con ""L""?";;"""lápiz"" comienza con ""L"""
2;El león ruge fuerte.;león;ruge;fuerte;león;"¿Cuál de estas palabras comienza con ""L""?";;"""león"" comienza con ""L"""
2;Mi mamá tiene lanas de muchos colores.;mamá;lanas;de;lanas;"¿Cuál de estas palabras comienza con ""L""?";;"""lanas"" comienza con ""L"""
2;La mochila de Juan es grande.;mochila;Juan;grande;mochila;"¿Cuál de estas palabras comienza con ""M""?";;"""mochila"" comienza con ""M"""
2;Las águilas siempre vuelan alto.;águilas;siempre;vuelan;siempre;"¿Cuál palabra contiene la letra ""M""?";;"""siempre"" contiene ""M"""
2;La escuela es hermosa.;La;escuela;hermosa;hermosa;"¿Cuál palabra contiene la letra ""M""?";;"""hermosa"" contiene ""M"""
2;Yo tengo muchos amigos.;Yo;tengo;amigos;amigos;"¿Cuál palabra contiene la letra ""M""?";;"""amigos"" contiene ""M"""
2;Mi tío Hugo anda en moto.;tío;Hugo;moto;moto;"¿Cuál de estas palabras comienza con ""M""?";;"""moto"" comienza con ""M"""
2;En mi barrio tengo muchos amigos.;mi;barrio;tengo;mi;"¿Cuál de estas palabras comienza con ""M""?";;"""mi"" comienza con ""M"""
2;Laura es la mejor amiga de Isidora.;Laura;mejor;Isidora;mejor;"¿Cuál de estas palabras comienza con ""M""?";;"""mejor"" comienza con ""M"""
2;Fabían escucha música muy fuerte.;Fabián;música;fuerte;música;"¿Cuál de estas palabras comienza con ""M""?";;"""música"" comienza con ""M"""
2;El reloj de mi casa suena muy fuerte.;reloj;casa;muy;muy;"¿Cuál de estas palabras comienza con ""M""?";;"""muy"" comienza con ""M"""
2;Me gusta mucho el jugo de manzanas.;gusta;jugo;manzanas;manzanas;"¿Cuál de estas palabras comienza con ""M""?";;"""manzanas"" comienza con ""M"""
2;El lunes es el primer día de la semana.;lunes;día;la;lunes;"¿Cuál palabra contiene la letra ""N""?";;"""lunes"" contiene ""N"""
2;Las noches de invierno son muy frías.;noches;muy;frías;noches;"¿Cuál de estas palabras comienza con ""N""?";;"""noches""  comienza con ""N"""
2;Me gusta acostarme en el pasto y mirar las nubes.;gusta;pasto;nubes;nubes;"¿Cuál de estas palabras comienza con ""N""?";;"""nubes"" comienza con ""N"""
2;Mi abuelito tiene una nariz grande.;Mi;abuelito;nariz;nariz;"¿Cuál de estas palabras comienza con ""N""?";;"""nariz"" comienza con ""N"""
2;Una tórtola hizo un nido en mi jardín.;tórtola;hizo;nido;nido;"¿Cuál de estas palabras comienza con ""N""?";;"""nido"" comienza con ""N"""
2;Me gustaría viajar en una nave espacial.;viajar;nave;espacial;nave;"¿Cuál de estas palabras comienza con ""N""?";;"""nave"" comienza con ""N"""
2;Mi hermana se llama Natalia.;Mi;llama;Natalia;Natalia;"¿Cuál de estas palabras comienza con ""N""?";;"""Natalia"" comienza con ""N"""
2;Los sábados y domingos no vamos al colegio.;sabados;no;colegio;no;"¿Cuál de estas palabras comienza con ""N""?";;"""no"" comienza con ""N"""
2;Yo nunca he volado en avión.;Yo;nunca;volado;nunca;"¿Cuál de estas palabras comienza con ""N""?";;"""nunca"" comienza con ""N"""
2;Mi perrito Inti tiene su pelaje blanco.;perrito;Inti;pelaje;Inti;"¿Cuál palabra contiene la letra ""N""?";;"""inti"" contiene ""N"""
2;En otoño hace mucho frio.;otoño;hace;frío;otoño;"¿Cuál palabra contiene la letra ""Ñ""?";;"""otoño"" contiene ""Ñ"""
2;A Josefina le regalaron una muñeca.;Josefina;regalaron;muñeca;muñeca;"¿Cuál palabra contiene la letra ""Ñ""?";;"""muñeca"" contiene ""Ñ"""
2;Las arañas tienen ocho patas.;Las;arañas;ocho;arañas;"¿Cuál palabra contiene la letra ""Ñ""?";;"""arañas"" contiene ""Ñ"""
2;Elena se pintó las uñas de color naranjo.;Elena;uñas;naranjo;uñas;"¿Cuál palabra contiene la letra ""Ñ""?";;"""uñas"" contiene ""Ñ"""
2;Aníbal fue de excursión a la montaña.;Aníbal;excursión;montaña;montaña;"¿Cuál palabra contiene la letra ""Ñ""?";;"""montaña"" contiene ""Ñ"""
2;Me gusta comer pan con manjar.;gusta;pan;manjar;pan;"¿Cuál de estas palabras comienza con ""P""?";;"""pan"" comienza con ""P"""
2;Mi mamá tiene el pelo muy largo.;mamá;pelo;largo;pelo;"¿Cuál de estas palabras comienza con ""P""?";;"""pelo"" comienza con ""P"""
2;Me gusta la pelota de Mario.;gusta;pelota;Mario;pelota;"¿Cuál de estas palabras comienza con ""P""?";;"""pelota"" comienza con ""P"""
2;Paula y Camila juegan a las muñecas.;Paula;Camila;muñecas;Paula;"¿Cuál de estas palabras comienza con ""P""?";;"""Paula"" comienza con ""P"""
2;Me gusta escuchar música porque me pone contenta.;gusta;música;porque;porque;"¿Cuál de estas palabras comienza con ""P""?";;"""porque"" comienza con ""P"""
2;La mariposa tiene lindos colores.;mariposa;lindos;colores;mariposa;"¿Cuál palabra contiene la letra ""P""?";;"""mariposa"" contiene ""P"""
2;Mi país se llama Chile.;país;llama;Chile;país;"¿Cuál de estas palabras comienza con ""P""?";;"""país"" comienza con ""P"""
2;A mi papá se le perdió la linterna.;papá;le;linterna;papá;"¿Cuál de estas palabras comienza con ""P""?";;"""papá"" comienza con ""P"""
2;Mis abuelos vendrán a casa para Navidad.;abuelos;casa;para;para;"¿Cuál de estas palabras comienza con ""P""?";;"""para"" comienza con ""P"""
2;Mis tíos viven en la comuna de Puente Alto.;tíos;Puente;Alto;Puente;"¿Cuál de estas palabras comienza con ""P""?";;"""Puente"" comienza con ""P"""
2;El ratón come mucho queso.;ratón;come;queso;queso;"¿Cuál de estas palabras comienza con ""Q""?";;"""queso"" comienza con ""Q"""
2;La hermana de Margarita tiene quince años.;hermana;Margarita;quince;quince;"¿Cuál de estas palabras comienza con ""Q""?";;"""quince"" comienza con ""Q"""
2;Mi tía hizo un queque muy rico.;hizo;queque;rico;queque;"¿Cuál de estas palabras comienza con ""Q""?";;"""queque"" comienza con ""Q"""
2;"Iquique es conocida como la ""Tierra de Campeones"".";Iquique;como;Tierra;Iquique;"¿Cuál de estas palabras comienza con ""Q""?";;"""Iquique"" contiene ""Q"""
2;Quiero mucho a mis padres y a mis hermanos.;Quiero;padres;hermanos;Quiero;"¿Cuál de estas palabras comienza con ""Q""?";;"""quiero"" comienza con ""Q"""
2;El gatito se quedó muy quieto mientras lo acariciaba.;gatito;quedó;mientras;quedó;"¿Cuál de estas palabras comienza con ""Q""?";;"""quedó"" comienza con ""Q"""
2;Patricio llegó quinto lugar en la competencia de atletismo.;Patricio;quinto;competencia;quinto;"¿Cuál de estas palabras comienza con ""Q""?";;"""quinto"" comienza con ""Q"""
2;Me gusta trabajar en equipo con mis amigos.;gusta;equipo;amigos;equipo;"¿Cuál palabra contiene la letra ""Q""?";;"""equipo"" contiene ""Q"""
2;Rodrigo se quejó de dolor de muelas.;quejó;dolor;muelas;quejó;"¿Cuál de estas palabras comienza con ""Q""?";;"""quejó"" comienza con ""Q"""
2;Anita quebró el florero de su mamá.;quebró;florero;mamá;quebró;"¿Cuál de estas palabras comienza con ""Q""?";;"""quebró"" comienza con ""Q"""
2;Las ranas son anfibios que viven en todo el mundo.;ranas;anfibios;todo;ranas;"¿Cuál de estas palabras comienza con ""R""?";;"""ranas"" comienza con ""R"""
2;Octavio regaló un ramo de flores a su tía.;Octavio;ramo;tía;ramo;"¿Cuál de estas palabras comienza con ""R""?";;"""ramo"" comienza con ""R"""
2;El almuerzo estuvo muy rico.;El;estuvo;rico;rico;"¿Cuál de estas palabras comienza con ""R""?";;"""rico"" comienza con ""R"""
2;El árbol tiene muchas hojas y frutos.;árbol;muchas;hojas;árbol;"¿Cuál palabra contiene la letra ""R""?";;"""árbol"" contiene ""R"""
2;Me gusta leer rimas y poemas.;Me;leer;poemas;leer;"¿Cuál palabra contiene la letra ""R""?";;"""leer"" contiene ""R"""
2;El vestido de Camila es rojo con lunares blancos.;vestido;rojo;blancos;rojo;"¿Cuál de estas palabras comienza con ""R""?";;"""rojo"" comienza con ""R"""
2;La radio está con un volumen muy alto.;radio;volumen;alto;radio;"¿Cuál de estas palabras comienza con ""R""?";;"""radio"" comienza con ""R"""
2;Ramón visitó a su abuelita el sábado.;Ramón;abuelita;sábado;Ramón;"¿Cuál de estas palabras comienza con ""R""?";;"""Ramón"" comienza con ""R"""
2;Tengo rosas y tulipanes en mi jardín.;rosas;tulipanes;mi;rosas;"¿Cuál de estas palabras comienza con ""R""?";;"""rosas"" comienza con ""R"""
2;Ayer comí un racimo de uvas.;comí;racimo;uvas;racimo;"¿Cuál de estas palabras comienza con ""R""?";;"""racimo"" comienza con ""R"""
2;La vaca tiene un lindo pelaje de color blanco y negro.;vaca;lindo;color;vaca;"¿Cuál de estas palabras comienza con ""V""?";;"""vaca"" comienza con ""V"""
2;Me gusta tomar jugo en vaso plástico.;gusta;jugo;vaso;vaso;"¿Cuál de estas palabras comienza con ""V""?";;"""vaso"" comienza con ""V"""
2;Mis vecinos son muy simpáticos.;vecinos;muy;simpáticos;vecinos;"¿Cuál de estas palabras comienza con ""V""?";;"""vecinos"" comienza con ""V"""
2;Hoy salí abrigado de casa porque hay mucho viento.;salí;casa;viento;viento;"¿Cuál de estas palabras comienza con ""V""?";;"""viento"" comienza con ""V"""
2;En verano me gusta mucho ir a la playa.;verano;gusta;playa;verano;"¿Cuál de estas palabras comienza con ""V""?";;"""verano"" comienza con ""V"""
2;Todos los viernes salgo más temprano del colegio.;viernes;salgo;colegio;viernes;"¿Cuál de estas palabras comienza con ""V""?";;"""viernes""  comienza con ""V"""
2;En mi colegio hay un taller de violín.;hay;taller;violín;violín;"¿Cuál de estas palabras comienza con ""V""?";;"""violín""  comienza con ""V"""
2;Me gusta mucho escuchar a las aves cantar.;gusta;las;aves;aves;"¿Cuál palabra contiene la letra ""V""?";;"""aves"" contiene ""V"""
2;Me gustaría viajar en avión.;Me;gustaría;viajar;viajar;"¿Cuál de estas palabras comienza con ""V""?";;"""viajar"" comienza con ""V"""
2;Las águilas pueden volar muy alto.;águilas;volar;alto;volar;"¿Cuál de estas palabras comienza con ""V""?";;"""volar"" comienza con ""V"""
2;Isaac Newton es un científico muy conocido.;Newton;científico;conocido;Newton;"¿Cuál palabra contiene la letra ""W""?";;"""Newton"" contiene ""W"""
2;Antonia vio un video muy interesante en la web.;video;interesante;web;web;"¿Cuál de estas palabras comienza con ""W""?";;"""web"" comienza con ""W"""
2;Los tíos de Ignacio beben whisky.;tíos;Ignacio;whisky;whisky;"¿Cuál de estas palabras comienza con ""W""?";;"""whisky"" comienza con ""W"""
2;Con mi profesora leemos textos muy entretenidos.;mi;leemos;textos;textos;"¿Cuál palabra contiene la letra ""X""?";;"""textos"" contiene ""X"""
2;Me gustó mucho la exposición de arte.;gustó;exposición;arte;exposición;"¿Cuál palabra contiene la letra ""X""?";;"""exposición"" contiene ""X"""
2;La venta de chocolates resultó muy exitosa.;venta;chocolates;exitosa;exitosa;"¿Cuál palabra contiene la letra ""X""?";;"""exitosa"" contiene ""X"""
2;Me gusta mucho la yema del huevo.;gusta;yema;huevo;yema;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""yema"" comienza con ""Y griega"""
2;Mi abuelito tiene una linda yegua en el campo.;abuelito;linda;yegua;yegua;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""yegua"" comienza con ""Y griega"""
2;Felipe y Pamela son mis mejores amigos.;y;mis;amigos;y;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""y"" comienza con ""Y griega"""
2;Todos los veranos voy a la playa con mi familia.;Todos;veranos;playa;playa;"¿Cuál palabra contiene la letra ""Y griega""?";;"""playa"" contiene ""Y griega"""
2;No me gusta ponerme inyecciones porque me duelen.;me;inyecciones;duelen;inyecciones;"¿Cuál palabra contiene la letra ""Y griega""?";;"""inyecciones"" contiene ""Y griega"""
2;Mi colación favorita es el yogurt con cereales.;favorita;yogurt;cereales;yogurt;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""yogurt"" comienza con ""Y griega"""
2;Mi mamá todas las mañanas hace yoga.;mamá;las;yoga;yoga;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""yoga"" comienza con ""Y griega"""
2;Mi papá dice que cuando era chico jugaba yoyó.;papá;chico;yoyó;yoyó;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""yoyó"" comienza con ""Y griega"""
2;Me fracturé el pie jugando y debieron ponerme yeso.;Me;pie;yeso;yeso;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""yeso"" comienza con ""Y griega"""
2;Mi amigo y yo nos juntaremos a jugar.;amigo;yo;jugar;yo;"¿Cuál de estas palabras comienza con ""Y griega""?";;"""yo"" comienza con ""Y"""
2;A mi mamá le regalé unos zapatos muy lindos.;mamá;zapatos;lindos;zapatos;"¿Cuál de estas palabras comienza con ""Z""?";;"""zapatos"" comienza con ""Z"""
2;los zancudos son insectos muy ruidosos.;zancudos;insectos;ruidosos;zancudos;"¿Cuál de estas palabras comienza con ""Z""?";;"""zancudos"" comienza con ""Z"""
2;Los zorros viven en el desierto y las montañas.;zorros;desierto;montañas;zorros;"¿Cuál de estas palabras comienza con ""Z""?";;"""zorros"" comienza con ""Z"""
2;Don Pedro cosechó unos zapallos muy grandes.;Pedro;cosechó;zapallos;zapallos;"¿Cuál de estas palabras comienza con ""Z""?";;"""zapallos"" comienza con ""Z"""
2;José y Arturo visitaron el zoológico.;Arturo;visitaron;zoológico;zoológico;"¿Cuál de estas palabras comienza con ""Z""?";;"""zoológico"" comienza con ""Z"""
2;La zanahoria tiene muchas vitaminas.;zanahoria;tiene;vitaminas;zanahoria;"¿Cuál de estas palabras comienza con ""Z""?";;"""zanahoria"" comienza con ""Z"""
2;El collar de Cristina tiene zafiros y perlas.;collar;zafiros;perlas;zafiros;"¿Cuál de estas palabras comienza con ""Z""?";;"""zafiros"" comienza con ""Z"""
