audio pregunta;0.wav;
Elige la forma correcta para escribir la palabra.;738.wav;
"Cuál de las dos palabras destacadas tiene sonido ""r"" fuerte?";796.wav;
carro;826.wav;
caro;827.wav;
careta;828.wav;
enredo;829.wav;
Enrique;830.wav;
arroz;831.wav;
cerro;832.wav;
reloj;833.wav;
ruido;834.wav;
parra;835.wav;
tierra;836.wav;
cariño;837.wav;
barra;838.wav;
Perú;839.wav;
moreno;840.wav;
guitarra;841.wav;
araña;842.wav;
gorro;843.wav;
pared;844.wav;
párrafo;845.wav;
regalo;846.wav;
arruga;847.wav;
toro;848.wav;
robot;849.wav;
ciruela;850.wav;
puerta;851.wav;
maravilla;852.wav;
amarra;853.wav;
racimo;854.wav;
torre;855.wav;
sonrisa;857.wav;
rata;858.wav;
honrado;859.wav;
oreja;860.wav;
caracol;861.wav;
tesoro;862.wav;
pera;863.wav;
farol;864.wav;
narrar;865.wav;
arropar;866.wav;
ropa;867.wav;
rico;868.wav;
reja;869.wav;
rueda;870.wav;
arranca;871.wav;
rama;872.wav;
forro;873.wav;
enrollar;874.wav;
rubia;875.wav;
burro;876.wav;
Indica si la palabra subrayada corresponde a un sustantivo común o propio.;877.wav;
Escribe la letra que falta en mayúscula o minúscula según corresponda.;927.wav;
Elige el signo más adecuado para la expresión.;962.wav;
cemento;1016.wav;
cebra;1018.wav;
sillón;1019.wav;
circo;1020.wav;
silencio;1021.wav;
sirena;1022.wav;
secretos;1023.wav;
peces;1024.wav;
ceja;1025.wav;
cereales;1026.wav;
cinturón;1027.wav;
semana;1028.wav;
celular;1029.wav;
serpiente;1030.wav;
quiosco;1031.wav;
equipo;1032.wav;
vaquero;1033.wav;
raqueta;1034.wav;
estanque;1035.wav;
parque;1036.wav;
mantequilla;1037.wav;
mosquito;1038.wav;
cosquillas;1039.wav;
esqueleto;1040.wav;
queso;1041.wav;
esquimal;1042.wav;
maniquí;1043.wav;
quemadura;1044.wav;
peluquero;1045.wav;
guinda;1046.wav;
gelatina;1047.wav;
pingüino;1048.wav;
girasol;1049.wav;
gigante;1050.wav;
merengue;1051.wav;
desagüe;1052.wav;
antigüedad;1053.wav;
gitana;1054.wav;
gemelas;1055.wav;
madriguera;1056.wav;
guepardo;1057.wav;
guiso;1059.wav;
gente;1060.wav;
río;1063.wav;
repollo;1064.wav;
reunión;1066.wav;
rápido;1067.wav;
regla;1068.wav;
ratones;1069.wav;
perro;1070.wav;
vereda;1071.wav;
aro;1072.wav;
pirata;1075.wav;
Escribe la palabra en plural.;1076.wav;
Cómo se escribe correctamente la palabra que falta en la oración?;1116.wav;
Camila tomó el lápiz negro de una caja de lápices.;1200.wav;
Los leones son feroces.;1201.wav;
La actriz se probó varios disfraces.;1202.wav;
En una fiesta había luces de colores.;1203.wav;
En la iglesia entregaron cruces a los asistentes.;1204.wav;
Encontramos un nido de codornices.;1205.wav;
Con mi tío pescamos varios peces en el lago.;1206.wav;
Las raíces de los árboles;1207.wav;
Los niños se ven felices jugando en el parque.;1208.wav;
Jaime salto siete veces.;1209.wav;
Levanté una gran piedra y encontré muchas lombrices.;1210.wav;
Los avestruces esconden su cabeza en la tierra.;1211.wav;
En la clase de arte hicimos antifaces.;1212.wav;
Los niños son capaces de saltar en un pie.;1213.wav;
Javier comió un helado con nueces.;1214.wav;
La gimnasta es esforzada.;1215.wav;
En la película aparece un genio.;1216.wav;
Con perejil las comidas quedan sabrosas.;1217.wav;
Mi mamá me enseño a tejer.;1218.wav;
Es genial jugar con mi perro.;1219.wav;
Al correr me agito mucho.;1220.wav;
Me gusta la jirafa cuando voy al zoológico.;1221.wav;
El jinete monta su caballo.;1222.wav;
El gigante nos ve como hormiguitas.;1223.wav;
La gelatina de naranja es la mejor.;1224.wav;
El vendedor es gentil.;1225.wav;
Los monos son ágiles para escalar árboles.;1226.wav;
Mi chaleco viejo tiene agujeros.;1227.wav;
MI abuela guarda en una cajita sus joyas.;1228.wav;
A mi abuela le gusta tejer.;1229.wav;
A Josefa le gusta tomar tecito con su abuela.;1230.wav;
Tengo varios lapicitos de colores.;1231.wav;
Quieres una tacita de té?;1232.wav;
Mamá y papá se toman un cafecito en la tarde.;1233.wav;
En el lago encontré piedrecitas de muchos colores.;1234.wav;
Martin tiene un avioncito de juguete.;1235.wav;
Con mi abuela caminamos despacito.;1236.wav;
Un viejecito nos saludó en la plaza.;1237.wav;
El conejo de Marta es suavecito.;1238.wav;
Me tomé un vasito de agua.;1239.wav;
Un pequeño leoncito vimos en el zoológico.;1240.wav;
Vi una lombricita en el jardín.;1241.wav;
Los piecitos del bebe son gorditos.;1242.wav;
La mamá de Andrea le da un pedacito de manzana.;1243.wav;
Tengo un llavero con forma de corazoncito.;1244.wav;
Lee la descripción y escribe la palabra a la cual corresponde.;1245.wav;
Selecciona la combinación de letras que falta en la palabra.;1285.wav;
Cómo se escribe correctamente esta palabra?;1373.wav;
Cuál es la palabra que debe ir en el espacio en blanco?;1423.wav;
Lee la palabra.  Identifica la sílaba tónica y luego haz clic en la clasificación correspondiente.;1456.wav;
José se abriga con la bufanda.;1572.wav;
Él se dirige a la biblioteca.;1573.wav;
José se encuentra con su abuela.;1574.wav;
Antonia le da un beso en la mejilla a su mamá.;1575.wav;
El bombero toca la bocina.;1576.wav;
La bandera se mueve con el viento.;1577.wav;
El papá de José le compró un globo.;1578.wav;
Al mirar al cielo las nubes se ven grises.;1579.wav;
El paraguas me protege de la lluvia.;1580.wav;
José camina por la vereda.;1581.wav;
Pronto llegará la primavera.;1582.wav;
El vecino de José saluda muy cordial.;1583.wav;
Mi abuela me ve por la ventana.;1584.wav;
El viernes iré a la biblioteca.;1585.wav;
En las vacaciones de invierno siempre llueve.;1586.wav;
José soñaba con visitar Buenos Aires.;1587.wav;
La mamá de José cantaba en las mañanas.;1588.wav;
La paloma volaba cerca de la casa.;1589.wav;
Cuando David corría, su perro saltaba.;1590.wav;
A ella le gustaba cuando caminaban por la playa.;1591.wav;
Después de almorzar me gusta dormir.;1592.wav;
Ella señalaba el libro que quiso comprar.;1593.wav;
Cuando miraba las estrellas formaba figuras con ellas.;1594.wav;
La profesora pensaba mientras tomaba desayuno.;1595.wav;
Martín tocaba la guitarra en la plaza.;1596.wav;
La mamá de José plantaba girasoles en el jardín.;1597.wav;
Su papá diseñaba maquetas para su trabajo.;1598.wav;
José estudiaba por las tardes.;1599.wav;
La mamá de Josefa compraba frutas en el supermercado.;1600.wav;
Camila peinaba a su muñeca favorita;1601.wav;
Camila compró una alfombra muy linda.;1602.wav;
En el hospital hay muchas ambulancias grandes.;1603.wav;
Arturo ayudó en la colecta de los bomberos del miércoles.;1604.wav;
En mi escuela hicimos una convivencia.;1605.wav;
Alexis envió un correo electrónico a su tía que vive en Temuco.;1606.wav;
Los envases de plástico y vidrio se pueden reciclar.;1607.wav;
Hay que utilizar ampolletas que ahorren energía.;1608.wav;
Antonia fue de vacaciones al campo.;1609.wav;
La iglesia tiene una inmensa campana.;1610.wav;
Me gustó conversar con mi papá.;1611.wav;
Ahora me tomaría un helado de chocolate.;1612.wav;
Necesitamos harina para los panqueques.;1613.wav;
Andrea hablaba con su hermana sobre la película.;1614.wav;
Mi papá me preparó pan con huevo.;1615.wav;
Compré ricas zanahorias para mi conejo.;1616.wav;
Mi abuela tiene un huerto pequeño.;1617.wav;
Me entregaron un adhesivo al cooperar en la colecta.;1618.wav;
En el jardín, Josefa miraba las hormigas.;1619.wav;
El ahijado de mi mamá estará pronto de cumpleaños.;1620.wav;
La almohada es suave y cómoda.;1621.wav;
Javier decide ir por ahí.;1622.wav;
¡Ya sé! Hay que dividirse.;1623.wav;
¡Ay! Me pegué en la cabeza.;1624.wav;
Hay que buscar el camino de regreso.;1625.wav;
No hay posibilidad de perdernos.;1626.wav;
Lee la oración y selecciona la alternativa que corresponda al sinónimo de la palabra destacada.;1627.wav;
Lee la oración y selecciona la alternativa que corresponda al antónimo de la palabra destacada.;1658.wav;
Qué letra falta a la palabra incompleta?;1689.wav;
Selecciona la palabra que presenta acento dierético.;1717.wav;
A Joaquín le gustaba analizar las casas;1758.wav;
Decidió acercarse a la niña para hacerse su amigo.;1759.wav;
Joaquín quiso entrar;1760.wav;
Solo una canción.;1761.wav;
La abuelita le mostró la mesa con refrescos.;1762.wav;
Estoy un poco cansado;1763.wav;
Me recibirás mañana si vengo?;1764.wav;
Cómo lo has pasado en la fiesta Joaquín?;1765.wav;
Me dicen Florcita.;1766.wav;
Adentro podía leerse el mensaje.;1767.wav;
Joaquín quiso entrar.;1768.wav;
Ese día fue magnífico.;1769.wav;
Un día de primavera Joaquín salió en bicicleta.;1770.wav;
Me gustaría dormir.;1771.wav;
Le encantaba atreverse a entrar en casas desconocidas.;1772.wav;
Él no quiso jugar con el niño.;1773.wav;
Si tú me dices que sí.;1774.wav;
Lo veré más seguido;1775.wav;
Te advierto que la taza de té está muy caliente.;1776.wav;
Yo sé que Luis no se porta bien.;1777.wav;
Mi mamá necesita que le dé un abrazo.;1778.wav;
Mi mamá es muy especial para mí.;1779.wav;
Él hizo todo por tu amiga.;1780.wav;
No sé nada de mi prima que se fue de la casa.;1781.wav;
Quiero que tú vayas con tu amiga.;1782.wav;
El policía saludo a mi hermano pequeño.;1783.wav;
Bailaría contigo pero no sé bailar.;1784.wav;
Mi tío Raúl nos visitará el fin de semana.;1785.wav;
Raúl tomó mi mano y me invitó a bailar.;1786.wav;
La carnicería tiene un olor extraño.;1787.wav;
Andrea y María estaban felices.;1788.wav;
Quieres ir al cine el miércoles?;1789.wav;
Me comería un trozo de pastel.;1790.wav;
Todos reían con Andrea.;1791.wav;
Carla tropezó con la raíz de ese árbol.;1792.wav;
Seleccione la palabra correctamente escrita que corresponda a la oración.;1793.wav;
Junto a cual palabra pondrías la coma?;1838.wav;
Selecciona el pronombre correctamente escrito que falta.;1847.wav;
Me gustaría contar una historia que he presenciado desde mi ventana.;1877.wav;
Es por eso que no he tenido ganas de irme.;1878.wav;
Antes había un pequeño café bajo este edificio.;1879.wav;
Pero tuvieron que demolerlo.;1880.wav;
Tuve que elegir un lugar para escribir.;1881.wav;
He ido recolectando historias que he observado desde ahí.;1882.wav;
Advertí a una muchacha esperando en un banco.;1883.wav;
La muchacha iba sacando todos los objetos de la cartera.;1884.wav;
Sin embargo nadie va tan apurado en la vida.;1885.wav;
Voy a esperarla;1886.wav;
Decidió sentarse a esperar por si aparecía la dueña.;1887.wav;
Solo ha estado sentada una muchacha.;1888.wav;
Pronto se dio cuenta que tarde o temprano iba a tener que irse a la universidad.;1889.wav;
El muchacho guardó la agenda y se fue.;1890.wav;
Mientras tanto me levanté de mi escritorio.;1891.wav;
Muchas personas han perdido el hábito de devolver las cosas.;1892.wav;
No podía dejar de pensar en la suerte que tuvo la muchacha.;1893.wav;
Supo que el muchacho iba a volver.;1894.wav;
Tendrías la amabilidad de dejar la agenda en la conserjería?;1895.wav;
Había que preparar una entrega con mi editor.;1896.wav;
Al día siguiente el joven tuvo que madrugar.;1897.wav;
Por fin la historia se había solucionado.;1898.wav;
Quién vendrá a tu casa?;1899.wav;
Quisiera averiguar dónde vive.;1900.wav;
Dime cómo llegaste hasta acá.;1901.wav;
Dónde quieres poner el mueble?;1902.wav;
Ustedes son tal para cual.;1903.wav;
¡Qué felicidad que hayas llegado!;1904.wav;
Llegué tarde porque fui donde mi amigo.;1905.wav;
Te dije que no puedes llegar tarde?;1906.wav;
Estudié hasta que pude entender.;1907.wav;
Cómo te ha ido el último tiempo?;1908.wav;
¡Me encanta que me regales chocolates!;1909.wav;
El lugar donde iremos está muy lejos de aquí.;1910.wav;
Te gusta que te haga regalos?;1911.wav;
De cuántos años estamos hablando?;1912.wav;
Todavía no sabemos cuándo podremos irnos.;1913.wav;
Sabías qué hoy hay prueba?;1914.wav;
Cómo puedo hacer para que me vaya mejor en la universidad?;1915.wav;
¡Cómo pudiste llegar tan tarde!;1916.wav;
¡Qué linda muchacha!;1917.wav;
Cómo podría devolver la agenda?;1918.wav;
